
ShowLevelAboveDesc			"Show Level Above"
BowNameExp1-1				"Hickory Composite Bow"
BowNameExp1-2				"Yew Composite Bow"

DaggerNameExp1-1			"Mithril Flame Dagger"
DaggerNameExp1-2			"Adamantium Flame Dagger"

MaceNameExp1-1				"Mithril Double Flail"
MaceNameExp1-2				"Adamantium Double Flail"

MaceTwoHandedNameExp1-1			"Mithril Giant Martel"
MaceTwoHandedNameExp1-2			"Adamantium Giant Martel"

StaffNameExp1-1				"Mithril Staff"
StaffNameExp1-2				"Adamantium Staff"

SwordNameExp1-1				"Mithril War Sword"
SwordNameExp1-2				"Adamantium War Sword"

SwordTwoHandedNameExp1-1		"Mithril Warlord Sword"
SwordTwoHandedNameExp1-2		"Adamantium Warlord Sword"

ShieldNameExp1-1			"Mithril Templar Shield"
ShieldNameExp1-2			"Adamantium Templar Shield"

BeltClothNameExp1-1			"Imbued Silk Girdle"
BeltClothNameExp1-2			"Rune Silk Girdle"

BeltLeatherNameExp1-1			"Imbued Hide Girdle"
BeltLeatherNameExp1-2			"Rune Hide Girdle"

BeltMailNameExp1-1			"Mithril Scale Girdle"
BeltMailNameExp1-2			"Adamantium Scale Girdle"

BeltPlateNameExp1-1			"Mithril Girdle"
BeltPlateNameExp1-2			"Adamantium Girdle"

BootsClothNameExp1-1			"Imbued Silk Boots"
BootsClothNameExp1-2			"Rune Silk Boots"

BootsLeatherNameExp1-1			"Imbued Hide Boots"
BootsLeatherNameExp1-2			"Rune Hide Boots"

BootsMailNameExp1-1			"Mithril Scale Boots"
BootsMailNameExp1-2			"Adamantium Scale Boots"

BootsPlateNameExp1-1			"Mithril Boots"
BootsPlateNameExp1-2			"Adamantium Boots"

CapeClothNameExp1-1			"Imbued Silk Cloak"
CapeClothNameExp1-2			"Rune Silk Cloak"

ChestClothNameExp1-1			"Imbued Silk Tunic"
ChestClothNameExp1-2			"Rune Silk Tunic"

ChestLeatherNameExp1-1			"Imbued Hide Harness"
ChestLeatherNameExp1-2			"Rune Hide Harness"

ChestMailNameExp1-1			"Mithril Scale Chestpiece"
ChestMailNameExp1-2			"Adamantium Scale Chestpiece"

ChestPlateNameExp1-1			"Mithril Breastplate"
ChestPlateNameExp1-2			"Adamantium Breastplate"

GlovesClothNameExp1-1			"Imbued Silk Gloves"
GlovesClothNameExp1-2			"Rune Silk Gloves"

GlovesLeatherNameExp1-1			"Imbued Hide Gloves"
GlovesLeatherNameExp1-2			"Rune Hide Gloves"

GlovesMailNameExp1-1			"Mithril Scale Gauntlets"
GlovesMailNameExp1-2			"Adamantium Scale Gauntlets"

GlovesPlateNameExp1-1			"Mithril Gauntlets"
GlovesPlateNameExp1-2			"Adamantium Gauntlets"

GreavesClothNameExp1-1			"Imbued Silk Leggings"
GreavesClothNameExp1-2			"Rune Silk Leggings"

GreavesLeatherNameExp1-1		"Imbued Hide Leggings"
GreavesLeatherNameExp1-2		"Rune Hide Leggings"

GreavesMailNameExp1-1			"Mithril Scale Greaves"
GreavesMailNameExp1-2			"Adamantium Scale Greaves"

GreavesPlateNameExp1-1			"Mithril Legplates"
GreavesPlateNameExp1-2			"Adamantium Legplates"

HelmetClothNameExp1-1			"Imbued Silk Hood"
HelmetClothNameExp1-2			"Rune Silk Hood"

HelmetLeatherNameExp1-1			"Imbued Hide Helm"
HelmetLeatherNameExp1-2			"Rune Hide Helm"

HelmetMailNameExp1-1			"Mithril Scale Helmet"
HelmetMailNameExp1-2			"Adamantium Scale Helmet"

HelmetPlateNameExp1-1			"Mithril Helmet"
HelmetPlateNameExp1-2			"Adamantium Helmet"

ShoulderClothNameExp1-1			"Imbued Silk Shoulders"
ShoulderClothNameExp1-2			"Rune Silk Shoulders"

ShoulderLeatherNameExp1-1		"Imbued Hide Pauldron"
ShoulderLeatherNameExp1-2		"Rune Hide Pauldron"

ShouldersMailNameExp1-1			"Mithril Scale Pauldron"
ShouldersMailNameExp1-2			"Adamantium Scale Pauldron"

ShouldersPlateNameExp1-1		"Mithril Pauldron"
ShouldersPlateNameExp1-2		"Adamantium Pauldron"

WristsClothNameExp1-1			"Imbued Silk Bracers"
WristsClothNameExp1-2			"Rune Silk Bracers"

WristsLeatherNameExp1-1			"Imbued Hide Bracers"
WristsLeatherNameExp1-2			"Rune Hide Bracers"

WristsMailNameExp1-1			"Mithril Scale Bracers"
WristsMailNameExp1-2			"Adamantium Scale Bracers"

WristsPlateNameExp1-1			"Mithril Vambrace"
WristsPlateNameExp1-2			"Adamantium Vambrace"

NpcFight				"Fight with Player"
NpcFightDesc				"A player started a fight with this NPC.\nBe careful and don't kill NPCs you want to live!"

StartFight				"Fight"
StartFightDesc				"Choose this if you want to fight this npc.\nIs this really what you want?"

ConfirmStartFight			"Are you sure you want to attack this NPC?"

QuestAnnounceUprisingFromQuestUprising	"An established uprising has led to a new uprising of ##1## in ##2##."

QuestAnnounceMonsterQuestItemRitual	"##3## needs more ##1## ##2##s for a ritual."
QuestTitleMonsterQuestItemRitual	"Find ##1## ##2## ##3## for a ritual"
QuestTextMonsterQuestItemPersonalRitual	"People arount here won't like what I'm doing, but I need ##1## ##2## ##3## for a old ritual I would like to perform. I will pay you well for the body parts I need!"

QuestAnnounceWarParty			"There is a War Party of ##1## in ##2##."
QuestTitleWarParty			"Kill ##1## War Party"
QuestTextWarParty			"There is a War Party of ##1## in ##2##. Go deal with them before they pick us as a target!"

QuestAnnounceWarFromQuestWarParty			"The War Party has led the ##1##s to declare war on the ##2##s."
QuestAnnounceTownAttackFromQuestWarParty		"##1## from the War Party are attacking the town!"
QuestAnnounceRaidFromQuestWarParty			"##1## from the War Party are raiding the town!"
QuestAnnounceInvasionFromQuestWarParty			"##1## from the War Party are invading the town!"
QuestAnnounceWarAgainstBarbariansFromQuestWarParty	"A War Party has gotten us into a war with the ##1##."

DisplayEquipment			"Equipment"

BasicVest				"Basic Vest"
BasicLeggings				"Basic Leggings"
BasicBoots				"Basic Boots"
BasicGloves				"Basic Gloves"
CantReplaceWithCheaperItem		"Can't replace with a cheaper item!"

QuestTextMonsterQuestCommonEnemy	"I believe we have a common enemy, the ##1##. Do us both a favor and kill ##2## ##1##."

MissingShipment				"Missing Shipment"

QuestAnnounceMissingShipmentFood	"A critical food shipment has been lost."
QuestAnnounceMissingShipmentFoodFromMonsterHunter	"A critical food shipment has been lost, due to a monster hunter."
QuestAnnounceMissingShipmentFoodFromRenegade		"A critical food shipment has been lost, due to a renegade."
QuestTitleMissingShipmentFood		"Find lost food shipment"
QuestTextMissingShipmentFood		"A critical food shipment has been lost down in the dungeon, please retrieve it. In the meantime, food prices will be higher."

WorldModifierMissingShipmentFood	"Missing Food Shipment"
WorldModifierMissingShipmentFoodDesc	"Missing Food Shipment: A critical food shipment is lost, increasing food prices."

QuestAnnounceMissingShipmentWater	"A critical water shipment has been lost."
QuestAnnounceMissingShipmentWaterFromMonsterHunter	"A critical water shipment has been lost, due to a monster hunter."
QuestAnnounceMissingShipmentWaterFromRenegade		"A critical water shipment has been lost, due to a renegade."
QuestTitleMissingShipmentWater		"Find lost water shipment"
QuestTextMissingShipmentWater		"A critical water shipment has been lost down in the dungeon, please retrieve it. In the meantime, drink prices will be higher."

WorldModifierMissingShipmentWater	"Missing Water Shipment"
WorldModifierMissingShipmentWaterDesc	"Missing Water Shipment: A critical water shipment is lost, increasing drink prices."

ItemSupplyPriceDesc			"Item supplies are low and currently cost ##1##% more than normal"

QuestAnnounceMissingShipmentItem	"A critical item shipment has been lost."
QuestAnnounceMissingShipmentItemFromMonsterHunter	"A critical item shipment has been lost, due to a monster hunter."
QuestAnnounceMissingShipmentItemFromRenegade		"A critical item shipment has been lost, due to a renegade."
QuestTitleMissingShipmentItem		"Find lost item shipment"
QuestTextMissingShipmentItem		"A critical item shipment has been lost down in the dungeon, please retrieve it. In the meantime, item prices will be higher."

WorldModifierMissingShipmentItem	"Missing Item Shipment"
WorldModifierMissingShipmentItemDesc	"Missing Item Shipment: A critical item shipment is lost, increasing item prices."

QuestAnnouncePillage			"##1## are pillaging the town!"
QuestAnnouncePillageFromBoss		"##2## sent ##1## to pillage the town!"
QuestAnnouncePillageFromUniqueMonsterSpotted		"##2## sent ##1## to pillage the town!"
QuestAnnouncePillageFromKillMonsterGroup		"##2##'s group sent ##1## to pillage the town!"
QuestAnnouncePillageFromUprising	"Followers from an uprising of ##1## are pillaging the town!"
QuestAnnouncePillageFromMonsterScout	"The ##2## scout led in ##1## pillagers!"
QuestAnnouncePillageFromWarAgainstBarbarians	"Due to our war with the ##1## they are pillaging the town!"
QuestAnnouncePillageFromQuestMonsterGathering	"Followers from a monster gathering of ##1## are pillaging the town!"
QuestAnnouncePillageFromQuestAreaOverrun		"##1## from the area overrun are pillaging the town!"

QuestTitlePillage			"Stop the ##1## pillagers"
QuestTextPillage			"The ##1## are pillaging the town. Please hurry and kill them all. Make sure to destroy the gate also."

QuestAnnounceEvidenceWorshipMortus	"Someone from town is worshipping the evil god Mortus!"
QuestTitleEvidenceWorshipMortus		"Find who is worshipping the evil god Mortus"
QuestTextEvidenceWorshipMortus		"Someone from town is worshipping the evil god Mortus, please bring back evidence of who it is so they can be punished."
QuestEndEvidenceWorshipMortus		"Evidence from the worshipper of Mortus has been destroyed."

EvidenceEvilGodWorship			"Evidence of Worshipping Evil Gods"
CaughtEvilGodWorship			"##1## was caught Worshipping evil gods!"

QuestAnnounceEvidenceWorshipErillin	"Someone from town is worshipping the evil god Erillin!"
QuestTitleEvidenceWorshipErillin	"Find who is worshipping the evil god Erillin"
QuestTextEvidenceWorshipErillin		"Someone from town is worshipping the evil god Erillin, please bring back evidence of who it is so they can be punished."
QuestEndEvidenceWorshipErillin		"Evidence from the worshipper of Erillin has been destroyed."

QuestAnnounceEvidenceWorshipKracht	"Someone from town is worshipping the evil god Kracht!"
QuestTitleEvidenceWorshipKracht		"Find who is worshipping the evil god Kracht"
QuestTextEvidenceWorshipKracht		"Someone from town is worshipping the evil god Kracht, please bring back evidence of who it is so they can be punished."
QuestEndEvidenceWorshipKracht		"Evidence from the worshipper of Kracht has been destroyed."

QuestAnnounceEvidenceWorshipValta	"Someone from town is worshipping the evil god Valta!"
QuestTitleEvidenceWorshipValta		"Find who is worshipping the evil god Valta"
QuestTextEvidenceWorshipValta		"Someone from town is worshipping the evil god Valta, please bring back evidence of who it is so they can be punished."
QuestEndEvidenceWorshipValta		"Evidence from the worshipper of Valta has been destroyed."

FoundRoomPrisonLesser			"Found Lesser Prison"
FoundRoomPrison				"Found Prison"
FoundRoomPrisonGreater			"Found Greater Prison"
