
GoldStolen				"##1## volé"
CorpseCandle				"Corpse Candle"
Shimmer					"Shimmer"
Chimera					"Chimera"
Hellsnare				"Hellsnare"
Wisp					"Wisp"
FoxFire					"FoxFire"
Sparkles				"Sparkles"
LivingStorm				"Living Storm"
CorpseFire				"Corpse Fire"
WalkingFire				"Walking Fire"
Sparkle					"Sparkle"
BallLightning				"Ball Lightning"
WillotheWisp				"Will o' the Wisp"
IgnisFatuus				"Ignis Fatuus"
Twinkle					"Twinkle"
Wildfire				"Wildfire"

Mimic					"Mimic"
Bloodmenace				"Bloodmenace"
Shroud					"Shroud"
Kitsune					"Kitsune"
Shifter					"Shifter"
Loki					"Loki"
Thorl					"Thorl"
Bouda					"Bouda"
Skinwalker				"Skinwalker"
Zmei					"Zmei"
Frin					"Frin"
Taris					"Taris"
Shapeshifter				"Shapeshifter"
Deathshroud				"Deathshroud"
Rue					"Rue"
HiddenDoom				"Hidden Doom"
Changeling				"Changeling"
Slayer					"Slayer"
Wor					"Wor"
TheAmbusher				"The Ambusher"

Hulk					"Hulk"
Crusher					"Crusher"
Gravelthorn				"Gravelthorn"
Goresnap				"Goresnap"
Mammoth					"Mammoth"
Earthstriker				"Earthstriker"
Doublesmash				"Doublesmash"
Bloodbasher				"Bloodbasher"
Gargantuan				"Gargantuan"
Hunch					"Hunch"
Wrecker					"Wrecker"
Earthstomper				"Earthstomper"
Behemoth				"Behemoth"
Rockmenace				"Rockmenace"
Pulp					"Pulp"
Spike					"Spike"
Colossus				"Colossus"
Jotun					"Jotun"
Tremble					"Tremble"
Risi					"Risi"

Horror					"Horror"
Blink					"Blink"
Cerebral				"Cerebral"
Dreadreign				"Dreadreign"
DreadBrain				"Dread Brain"
Frostfire				"Frostfire"
Loath					"Loath"
Grimskull				"Grimskull"
Haunt					"Haunt"
Skullterror				"Skullterror"
Scorn					"Scorn"
Madeye					"Madeye"
EyeofTerror				"Eye of Terror"
EyefromHell				"Eye from Hell"
Fry					"Fry"
Fear					"Fear"
Nightmare				"Nightmare"
ArmoredEye				"Armored Eye"
Sinister				"Sinister"
Dreadskull				"Dreadskull"

Shankar					"Shankar"
Ciglio					"Ciglio"
Draaien					"Draaien"
LuteKefahNaga				"Lute Kef'ah Naga"
Lishlot					"Lishlot"
Ridit					"Ridit"
Ovlad					"Ovlad"
Yuxi					"Yuxi"
Fryse					"Fryse"
Criar					"Criar"
Garrip					"Garrip"

TrapSpinner				"Spinner Trap"
TrapTowerPoison				"Poison Tower Trap"
TrapSpinTowerFire			"Fire Tower Trap"
TrapSpinTowerIce			"Ice Tower Trap"
TrapPoisonCloud				"Poison Cloud Trap"
TrapConeFire				"Fire Cone Trap"
TrapConeIce				"Ice Cone Trap"
TrapConeLightning			"Lightning Cone Trap"

TownFireTotem				"Defensive Fire Totem"
TownIceTotem				"Defensive Ice Totem"
TownLightningTotem			"Defensive Lightning Totem"
TownPoisonTotem				"Defensive Poison Totem"

FireThrower1				"Goblin Fire Thrower"
FireThrower2				"Goblin Flame Thrower"
FireThrower3				"Goblin Scorching Thrower"
FireThrower4				"Goblin Blaze Thrower"
FireThrower5				"Goblin Immolation Thrower"

FireThrowerUnique1			"Flare"
FireThrowerUnique1b			"Flash"
FireThrowerUnique2			"Inferno"
FireThrowerUnique2b			"Pyro"
FireThrowerUnique3			"Kindle"
FireThrowerUnique3b			"Brand"
FireThrowerUnique4			"Ignite"
FireThrowerUnique4b			"Blaze"
FireThrowerUnique5			"Scorch"
FireThrowerUnique5b			"Incendio"

FireThrowerLegend1			"Eldur"
FireThrowerLegend2			"Fogo"
FireThrowerLegend3			"Teine"
FireThrowerLegend4			"Incitar"
FireThrowerLegend5			"Atex"

Leprechaun1				"Pilfer Clan Leprechaun"
Leprechaun2				"Creeping Clan Leprechaun"
Leprechaun3				"Lurking Clan Leprechaun"
Leprechaun4				"Skulking Clan Leprechaun"
Leprechaun5				"Swindle Clan Leprechaun"
LeprechaunGeneralName			"Evil Leprechaun"

Leprechaun1Unique			"Pinch"
Leprechaun1bUnique			"Snitch"
Leprechaun2Unique			"Slink"
Leprechaun2bUnique			"Sticky Hands"
Leprechaun3Unique			"Filch"
Leprechaun3bUnique			"Klepto"
Leprechaun4Unique			"Gold Lover"
Leprechaun4bUnique			"Sly"
Leprechaun5Unique			"Loot"
Leprechaun5bUnique			"Bull"

Leprechaun1Legend			"Geid"
Leprechaun2Legend			"Furtar"
Leprechaun3Legend			"Goid"
Leprechaun4Legend			"Quark"
Leprechaun5Legend			"Precious"

Demon1					"Chaos Minion"
Demon2					"Chaos Warrior"
Demon3					"Chaos Knight"
Demon4					"Chaos Lord"
Demon5					"Chaos Warlord"

Demon1Unique				"Unrest"
Demon1bUnique				"Bedlam"
Demon2Unique				"Furor"
Demon2bUnique				"Maelstrom"
Demon3Unique				"Anarchy"
Demon3bUnique				"Chaos"
Demon4Unique				"Disorder"
Demon4bUnique				"Void"
Demon5Unique				"Discord"
Demon6bUnique				"Vex"

Demon1Legend				"Gaia"
Demon2Legend				"Tartarus"
Demon3Legend				"Eros"
Demon4Legend				"Nyx"
Demon5Legend				"Erebus"
ChaosLord				"Chaos Lord"

Shadow1					"Blot"
Shadow2					"Concealer"
Shadow3					"Haze"
Shadow4					"Shade"
Shadow5					"Shadow"

Shadow1Unique				"Iceclaw"
Shadow1bUnique				"Shadowtouch"
Shadow2Unique				"Shadowbane"
Shadow2bUnique				"Deathhaunt"
Shadow3Unique				"Blackhorn"
Shadow3bUnique				"Felclaw"
Shadow4Unique				"Shadowfire"
Shadow4bUnique				"Ombro"
Shadow5Unique				"Umbrã"
Shadow6bUnique				"Quickspectre"

Shadow1Legend				"Shadowclaw"
Shadow2Legend				"Blackdusk"
Shadow3Legend				"Nightgloom"
Shadow4Legend				"Murkshade"
Shadow5Legend				"Darkfury"

Morale1					"Undead Wailer"
Morale2					"Undead Siren"
Morale3					"Undead Trumpet"
Morale4					"Undead Clarion"
Morale5					"Undead Herald"

Morale1Unique				"Scumslayer"
Morale1bUnique				"Menacetongue"
Morale2Unique				"Grok"
Morale2bUnique				"Deathcall"
Morale3Unique				"Gloomtongue"
Morale3bUnique				"Feartongue"
Morale4Unique				"Nightwrecker"
Morale4bUnique				"Tormenthowl"
Morale5Unique				"Dreadbringer"
Morale5bUnique				"Corpseheart"

Morale1Legend				"Nightsplitter"
Morale2Legend				"Bonesavage"
Morale3Legend				"Warhorn"
Morale4Legend				"Slyhorn"
Morale5Legend				"Shrill"

Invisible1				"Creeping Brood"
Invisible2				"Lurking Brood"
Invisible3				"Stalking Brood"
Invisible4				"Trapping Brood"
Invisible5				"Ambushing Brood"

Invisible1Unique			"Bloodslayer"
Invisible1bUnique			"Fastfang"
Invisible2Unique			"Irontooth"
Invisible2bUnique			"Shockmaw"
Invisible3Unique			"Ridgeback"
Invisible3bUnique			"Nightshade"
Invisible4Unique			"Steelfang"
Invisible4bUnique			"Snareslayer"
Invisible5Unique			"Arcticstalker"
Invisible5bUnique			"Shadowblow"

Invisible1Legend			"Shredder"
Invisible2Legend			"Furystrike"
Invisible3Legend			"Snare"
Invisible4Legend			"Dreadmaw"
Invisible5Legend			"Feeding Frenzy"

Fiend1					"Scree"
Fiend2					"Red Scree"
Fiend3					"Purple Screen"
Fiend4					"Green Scree"
Fiend5					"Blue Scree"

Fiend1Unique				"Viletail"
Fiend1bUnique				"Ravagerfiend"
Fiend2Unique				"Dusktail"
Fiend2bUnique				"Jaggedthorn"
Fiend3Unique				"Steeltorment"
Fiend3bUnique				"Shiverstrike"
Fiend4Unique				"Deathstroke"
Fiend4bUnique				"Rapidstrike"
Fiend5Unique				"Bloodseeker"
Fiend5bUnique				"Eblis"

Fiend1Legend				"Diavol"
Fiend2Legend				"Banespike"
Fiend3Legend				"Gutrip"
Fiend4Legend				"Fastblow"
Fiend5Legend				"The Striker"

FourArms1				"Fury"
FourArms1Plural				"Furies"
FourArms2				"Wrath"
FourArms3				"Rage"
FourArms4				"Rampage"
FourArms5				"Savage"

FourArms1Unique				"Bloodmaster"
FourArms1bUnique			"Carnageweaver"
FourArms2Unique				"Deathbringer"
FourArms2bUnique			"Menace"
FourArms3Unique				"Cruelagony"
FourArms3bUnique			"Bloodbrute"
FourArms4Unique				"Ragemaster"
FourArms4bUnique			"Painwrecker"
FourArms5Unique				"Savagesmasher"
FourArms5bUnique			"Gorestone"

FourArms1Legend				"Fleshmace"
FourArms2Legend				"Scorchblow"
FourArms3Legend				"Dreadwrecker"
FourArms4Legend				"Vilerage"
FourArms5Legend				"Zorn"

Wampir1					"Wampir"
Wampir2					"Agony Wampir"
Wampir3					"Blood Wampir"
Wampir4					"Toxic Wampir"
Wampir5					"Plague Wampir"

Wampir1Unique				"Ragewing"
Wampir1bUnique				"Wingshade"
Wampir2Unique				"Snowwing"
Wampir2bUnique				"Foulposion"
Wampir3Unique				"Posionmaw"
Wampir3bUnique				"Posiondealer"
Wampir4Unique				"Toxicshock"
Wampir4bUnique				"Blackagony"
Wampir5Unique				"Plagueooze"
Wampir5bUnique				"Blackwing"

Wampir1Legend				"Wingreaver"
Wampir2Legend				"Winged Malice"
Wampir3Legend				"Blightagony"
Wampir4Legend				"Posionterror"
Wampir5Legend				"Venomblast"

Frenzy1					"Ferocious Targ"
Frenzy2					"Fury Targ"
Frenzy3					"Berserk Targ"
Frenzy4					"Frenzy Targ"
Frenzy5					"Insane Targ"

Frenzy1Unique				"Bloodfire"
Frenzy1bUnique				"Cruelfreeze"
Frenzy2Unique				"Crazeblood"
Frenzy2bUnique				"Wildcarnage"
Frenzy3Unique				"Panic"
Frenzy3bUnique				"Hornmenace"
Frenzy4Unique				"Demonspike"
Frenzy4bUnique				"Shiver"
Frenzy5Unique				"Plaguespike"
Frenzy5bUnique				"Grudgespike"

Frenzy1Legend				"Ripper"
Frenzy2Legend				"Brutalfear"
Frenzy3Legend				"Grudgemenace"
Frenzy4Legend				"Foulspike"
Frenzy5Legend				"Angerhorn"

DemonDog1				"Ragnar"
DemonDog2				"Earth Ragnar"
DemonDog3				"Blood Ragnar"
DemonDog4				"Crystal Ragnar"
DemonDog5				"Sky Ragnar"

DemonDog1Unique				"Boneshredder"
DemonDog1bUnique			"Wisepaw"
DemonDog2Unique				"Stonepaw"
DemonDog2bUnique			"Snarl"
DemonDog3Unique				"Doomrage"
DemonDog3bUnique			"Nightjackal"
DemonDog4Unique				"Loneclaw"
DemonDog4bUnique			"Battlesnarl"
DemonDog5Unique				"Demonmaw"
DemonDog5bUnique			"Darkhowl"

DemonDog1Legend				"Duskhowl"
DemonDog2Legend				"Demonstench"
DemonDog3Legend				"Thunderfang"
DemonDog4Legend				"Frostfang"
DemonDog5Legend				"Icerip"
Ragnar					"Ragnar"

Suicide1				"Scarabus Burst"
Suicide2				"Scarabus Boomer"
Suicide3				"Scarabus Blaster"
Suicide4				"Scarabus Exploder"
Suicide5				"Scarabus Thunder"

Suicide1Unique				"Goreblast"
Suicide1bUnique				"Carnageblast"
Suicide2Unique				"Pulp"
Suicide2bUnique				"Gore"
Suicide3Unique				"Bloodthunder"
Suicide3bUnique				"Bloodcarnage"
Suicide4Unique				"Doomthunder"
Suicide4bUnique				"Cruelcarnage"
Suicide5Unique				"Blastwalker"
Suicide5bUnique				"Hellburn"

Suicide1Legend				"Scorchblow"
Suicide2Legend				"Fiercedeath"
Suicide3Legend				"Woundshredder"
Suicide4Legend				"Madfire"
Suicide5Legend				"Pulphunter"

CaveIn					"Cave-in"

// Faction names

Human					"Humain"
Lich					"Lich"
Skeleton				"Skeleton"
Zombie					"Zombie"
Elemental				"Elemental"
Hulk					"Hulk"
Scavenger				"Scavenger"
Orc					"Orc"
DarkElf					"Dark Elf"
Fiend					"Scree"
Ragnar					"Ragnar"
Shadow					"Shadow"
Wampir					"Wampir"
Fury					"Fury"
Demon					"Chaos Lord"
FireThrower				"Fire Thrower"
Torva					"Torva"
Spider					"Spider"
Saurian					"Saurian"
Naga					"Naga"
Ghost					"Ghost"
DeathKnight				"Death Knight"
HellHound				"Hell Hound"
Guardian				"Guardian"
Plaguebringer				"Plaguebringer"
Wisp					"Wisp"
Changeling				"Changeling"
Horror					"Horror"
Amorph					"Amorph"
Pixie					"Pixie"
Sprite					"Sprite"
Imp					"Imp"
Gremlin					"Gremlin"
Urchin					"Urchin"
Undead					"Undead"
Gargoyle				"Gargoyle"
Invisible				"Brood"
Suicide					"Scarabus"
Leprechaun				"Evil Leprechaun"


// World map menu

WorldMap				"World Map"
WorldMapInstructions			"Highlight map markers for more info\nUse scrollbars or hold down the left mouse button to scroll the map"
WorldMapInstructions2			"^c008Right click on gate or covenant to teleport"
YourCharacter				"Your Character"

WorldMapPlayersGate			"Player's Gate"
WorldMapTeleportToGate			"Right click to teleport to gate"
WorldMapTo				"To"
WorldMapTownGate			"Town Gate"
WorldMapConnectionFromXToY		"Connection from ##1## to ##2##"
WorldMapArea				"area"

PlayersListDesc				"This lists all of the players in the\ngame and their location."

// Locks

LockedYes				"Locked"
LockedNo				"Not locked"
LockedUnknown				"Might be locked (too far)"
LockPickChance				"##1##% lock pick chance"
LockPicked				"Lock picked"
LockPickFailed				"Lock picking failed"

// Traps

TrapNone				"No trap"
TrapUnknown				"Might be trapped (too far)"
TrapType				"Trap type"
TrapFireNova				"Fire Nova"
TrapIceStorm				"Ice Storm"
TrapPoisonGas				"Poison Gas"
TrapMagicalExplosion			"Magical Explosion"
TrapAlarm				"Alarm"
TrapSpawn				"Spawn"
TrapShrink				"Shrink"
TrapCaltrops				"Caltrops"
TrapCaveIn				"Cave-in"
TrapPit					"Pit"
TrapTeleporter				"Teleporter"
TrapCurse				"Curse"
TrapBallLightning			"Ball Lightning"
TrapWind				"Wind"
TrapDoors				"Doors"

Perception				"Perception"
PerceptionChanceCorrect			"chance correct"

DisarmChance				"##1##% chance to disarm"

// Time

Second					"second"
Seconds					"seconds"
Minute					"minute"
Minutes					"minutes"
Hour					"hour"
Hours					"hours"
Day					"day"
Days					"days"
SecondsAbrev				"s"
MinutesAbrev				"m"
HoursAbrev				"h"
DaysAbrev				"d"

// Journal stuff

SavedMonsterTextNone			"None"
SavedMonsterTextRenegade		"Renegade"
SavedMonsterTextThief			"Thief"
SavedMonsterTextLevel			"Lvl"
SavedMonsterTextAtLevel			"at Lvl"

DividerOf				"of"

JournalCharacter			"Character"
JournalGlobalBasic			"Global (Basic)"
JournalGlobal				"Global"
JournalFrom				"from"

GamesWon				"Towns Saved"
GamesLost				"Towns Lost"
GamesAbandoned				"Towns Abandoned"

StatsFor				"Stats for:"
HighestStats				"Highest stats"
StatName				"Stat name"
PlayerCovenant				"Player (class)"
StatValue				"Stat value"

// Npc Types

NpcTypeWarmaster			"Warmaster"
NpcTypeApothecary			"Apothecary"
NpcTypeSteward				"Steward"
NpcTypeTutor				"Tutor"

NpcTypeVendorBasic			"Vendor"
NpcTypeVendorWeapon			"Weaponsmith"
NpcTypeVendorArmor			"Armorsmith"
NpcTypeGambler				"Gambler"
NpcTypeVendorWandering			"Wandering Vendor"
NpcTypeNormal				"Townsperson"
NpcTypeAvatar				"Din"
Jeweler					"Jeweler"
BlackMarketVendor			"Black Market Vendor"
ShoeVendor				"Shoe Vendor"
FoodDrinkVendor				"Food & Drink Vendor"
FancyVendor				"Fancy Vendor"
PotionVendor				"Potion Vendor"
EnchanterVendor				"Enchanter"
BowSmith				"Bowyer"
SwordSmith				"Sword Smith"
AxeSmith				"Axe Smith"
MaceSmith				"Mace Smith"
StaffSmith				"Staff Smith"
DaggerSmith				"Dagger Smith"
EdgedWeaponsSmith			"Edged Weaponsmith"
BluntWeaponsSmith			"Blunt Weaponsmith"
ShieldSmith				"Shield Smith"
ClothArmorSmith				"Tailor"
LeatherArmorSmith			"Leatherworker"
MailArmorSmith				"Mail Armorsmith"
PlateArmorSmith				"Plate Armorsmith"
SoftArmorSmith				"Soft Armorsmith"
HardArmorSmith				"Hard Armorsmith"
WeaponGambler				"Weapon Gambler"
ArmorGambler				"Armor Gambler"
BagVendor				"Bag Vendor"
TwoHandedWeaponsSmith			"Two Handed Weaponsmith"
CapeVendor				"Cape Vendor"
GloveVendor				"Glove Vendor"
RingVendor				"Ring Vendor"
EliteWeaponVendor			"Elite Weaponsmith"
EliteArmorVendor			"Elite Armorsmith"
EliteJeweler				"Elite Jeweler"
EliteClothArmorSmith			"Elite Tailor"
EliteLeatherArmorSmith			"Elite Leatherworker"
EliteMailArmorSmith			"Elite Mail Armorsmith"
ElitePlateArmorSmith			"Elite Plate Armorsmith"
EliteDaggerSmith			"Elite Dagger Smith"
EliteStaffSmith				"Elite Staff Smith"
EliteMaceSmith				"Elite Mace Smith"
EliteAxeSmith				"Elite Axe Smith"
EliteSwordSmith				"Elite Sword Smith"
EliteBowSmith				"Elite Bowyer"
TheRenegade				"the Renegade"
Renegade				"Renegade"
Prisoner				"Prisoner"
ThePrisoner				"the Prisoner"
DinsCursed				"Din's Cursed"
TheDinsCursed				"(Cursed by Din)"
TheThief				"the Thief"
NPCsGhost				"'s ghost"

// Npc stuff

DinsAvatar				"Din (God of Honor)"

TalkTo					"Talk to "
NpcTitle				" the ##1##"

ObeliskGiant				"Giant Obelisk"
ObeliskHaste				"Haste Obelisk"
ObeliskStoneSkin			"StoneSkin Obelisk"
ObeliskRegeneration			"Regeneration Obelisk"
ObeliskLifeSteal			"Life Steal Obelisk"
ObeliskPowerSteal			"Mana Steal Obelisk"
ObeliskHolyShield			"Holy Shield Obelisk"
ObeliskInfinitePower			"Infinite Mana Obelisk"
ObeliskInfiniteStamina			"Infinite Stamina Obelisk"
ObeliskFireShield			"Fire Shield Obelisk"

GateActivated				"Gate activated!"

// Chests

SmallChest				"Small Chest"
LargeChest				"Large Chest"
SmallBronzeChest			"Small Bronze Chest"
LargeBronzeChest			"Large Bronze Chest"
SmallSilverChest			"Small Silver Chest"
LargeSilverChest			"Large Silver Chest"
SmallGoldChest				"Small Gold Chest"
MediumGoldChest				"Medium Gold Chest"
LargeGoldChest				"Large Gold Chest"
SecretStash				"Secret Stash"
BuriedTreasure				"Buried Treasure"
ArmorStand				"Armor Stand"
WeaponStand				"Weapon Stand"
MoneyChest				"Money Chest"
DeadBody				"Dead Body"

MediumRewardChest			"Medium Reward Chest"
LargeRewardChest			"Large Reward Chest"
RewardChestAvailable			"Reward chest (lvl ##1##) now available in town center!"

Barrel					"Barrel"
BarrelExploding				"Exploding Barrel"
BarrelPoison				"Poison Barrel"
BarrelOil				"Oil Barrel"
BarrelAlcohol				"Alcohol Barrel"

Crate					"Crate"
BreakableBush				"Bush"
BreakableCandle				"Candle"
BreakableStatue				"Statue"
BreakableMushroom			"Mushroom"
BreakableLocker				"Locker"
BreakableOrcTotem			"Orc Totem"
BreakableUndeadTotem			"Undead Totem"
BreakableJar				"Jar"

BaseAmount				"Base amount"
CurrentAmount				"Current amount"
StatAt					"At"

RegenEverySecond			"regen every second"
CriticalHitSpellChance			"critical hit/spell chance"
CrushingBlowChance			"Crushing Blow Chance"
DeepWoundsChance			"Deep Wounds Chance"
ToElementalResistances			"to elemental resistances"

DoorLocked				"Door locked"
DoorStuck				"Door stuck"
RequiresKeyXDoor			"Door stuck"
ChestLocked				"Chest locked"
RequiresKeyXChest			"Chest stuck"

// Help Topics (each must have title & text)

HelpTitleHelp				"Help system"
HelpTextHelp				"Welcome to the Din's Curse help system. To read a new help topic, click on the blinking question mark icons when they appear (bottom center of the screen).\n\nThese are here to help you learn the game as quickly as possible without boring you to death with a tutorial.\n\nYou can turn these off if you wish, but I wouldn't advise it. You can however turn them back on if turned off by Resetting the Help Topics in the Game Options."

HelpTitleAlt				"Alt"
HelpTextAlt				"Hold the ALT key down to see all of the items on the ground at once.\n\nYou can change the ALT key to work as a toggle instead in the game options, if that is easier for you."

HelpTitleCtrl				"Ctrl"
HelpTextCtrl				"Holding the CTRL key down will prevent your character from moving when left clicking and thus make it safer to select, shoot at, or cast spells on enemies.\n\nYou can change the CTRL key to work as a toggle instead in the game options, if that is easier for you."

HelpTitleLeftRightClick			"Left vs. Right Click"
HelpTextLeftRightClick			"Left clicking with the mouse is context sensitive and does the most common action (move, attack, pick up, etc.) whereas right click does the more rare actions like using an item. For movement and attacking you can hold down the left mouse button to continue the current action.\n\nYou can also setup up to 3 skills in the slots in the lower right corner of the screen to use when you right click on a monster. Right clicking uses the skill in the bottom slot. Use the up and down arrow keys to change which order these are in."

HelpTitleGameObjective			"Game Objective"
HelpTextGameObjective			"The objective of each game or new world is to save the town. It's a dangerous time for small human towns. They need a hero. That's you, thanks to Din, whether you like it or not. You will save the town when you have completed all of their quests.\n\nYou also have another goal. Din has cursed you. He will not release you from his service until you have redeemed yourself. Talk to Din in town for more information."

HelpTitleStash				"Stash"
HelpTextStash				"The stash is your extra inventory space where you can store whatever items you want.\n\nNote: Only bags can go directly into the stash.  Any type of item can go into these bags though."

HelpTitleSharedStash			"Shared Stash"
HelpTextSharedStash			"Your shared stash is shared by all of your players that you have created.\n\nNote: Only bags can go directly into the stash.  Any type of item can go into these bags though."

HelpTitleCharacterScreen		"Character Screen"
HelpTextCharacterScreen			"The character screen shows the basic stats of your character.  Place the mouse cursor over anything that you want more information about."

HelpTitleSkillsScreen			"Skills Screen"
HelpTextSkillsScreen			"The skill screen shows all of the skills available for your character class.  A gold border around the skill icon means that you have that skill.  Notice that there are multiple tabs at the bottom.  A full class will have 3 tabs where as a hybrid class will only have 2."

HelpTitleBuyingSkills			"Buying Skills"
HelpTextBuyingSkills			"The skills are not arranged in a skill tree.  All of the skills are available at the very beginning, but they each have a different point cost.  In general, the lower the skill is on the screen the more points it costs.  For each skill level, the point cost increases by one compared to the last skill level.  Buying a skill also costs some amount of money based on the point cost."

HelpTitleSkillTypes			"Skill Types"
HelpTextSkillTypes			"There are two types of skills: passive and active.  Passive skills are skills that automatically work with no input needed from the player, assuming you have the skill of course.  Active skills only work when the player uses them in the appropriate way.  The easiest way to use a skill is to add it to your hotkey bar and press the associated hotkey or add it to your 3 right click skill slots. Passive skills have a blue border around them on the skills screen."

HelpTitleVendors			"Vendors"
HelpTextVendors				"There can be many vendors or even no vendors in town. There are also various different types of vendors like small items vendors, armorsmiths, and weaponsmiths. They each carry different items, but you can sell any item to any of the vendors for the same price.\n\nTo buy an item, just move the item from the vendor's inventory to your own, right click on the item, or use the buy hotkey (defaults to space).\n\nTo sell an item, just move the item from your inventory to the vendor's or hit the sell hotkey (defaults to space).\n\nYou can also identify all of your unidentified items or repair items here for a price. Only armorsmiths and weaponsmiths can repair items."

HelpTitleGambler			"Gambler"
HelpTextGambler				"The gambler allows you to gamble on items.  To gamble, just buy the item like normal and if you are lucky it will be a magical item worth more than what you paid for."

HelpTitleQuestGivers			"Quest Givers"
HelpTextQuestGivers			"Each town usually has four main quest givers: the warmaster, the steward, the apothecary, and Din (the god that has cursed you). In general, they each carry different types of quests.\n\nAlso, sometimes the other NPCs in town will offer personal quests."

HelpTitleItemRarity			"Item Rarities"
HelpTextItemRarity			"Items come in many different rarities or types: ^c004normal^c145, ^c002common^c145, ^c005rare^c145, ^c008set^c145, ^c006elite^c145, ^c147artifacts^c145, and ^c121legendary^c145.\n\n^c004Normal^c145 items are just that, normal.\n\n^c002Common^c145 and ^c005rare^c145 magic items have some random magical enhancements with ^c005rare^c145 items usually having more.\n\n^c008Set^c145 items belong to a group of items.  If you can find and equip all of the items from a set, you will get some bonus enhancements.  Many sets also have a partial bonus if you can equip part of the set.\n\n^c006Elite^c145 items are items that are named, have enchantments that are always the same, and usually are very powerful.\n\n^c147Artifact^c145 items are very similar to elite items but usually have at least one extra enhancement so they are even more powerful.\n\n^c121Legendary^c145 items are the holy grail. They are the same as their artifact counterpart except they have an additional random magic modifier."

HelpTitleLowHealth			"Low Health"
HelpTextLowHealth			"There are many ways to regain health when your health gets too low.\n\nTypically the easiest way is to eat some food.  Eating food will slowly regenerate your health and food is relatively cheap.\n\nThe fastest way to regain health is to drink a health potion.  Health potions instantly give you health but are relatively expensive.\n\nThe cheapest way to regain your health is to use Din's altar in town.  Using Din's altar regenerates your health fairly quickly and is free but you have to be in town of course.\n\nAnd last but not least, some of the classes have different spells that can heal wounds."

HelpTitleLevelUp			"Level Up"
HelpTextLevelUp				"Each time you increase in level you get more attribute and skill points to distribute however you want.\n\nTo use your attribute points, open up your character page (defaults to the C key), and press the + button next to the attribute you want to increase.  You get 5 attribute points each level.\n\nTo use your skills points, open your skill page (defaults to the S key), and press the + button next to the skill you want to increase.  The higher your character's level the more skill points you get per level.  Also note, that skills cost more and more with each skill level and that they also cost a certain amount of money to increase."

HelpTitleWonGame			"Won Game"
HelpTextWonGame				"When you have saved a town, you can finish up whatever you need to and can then start a new town. Make sure you open your reward chest in the center of town though. Once you are done, you can start a new town by clicking on the blinking won game icon.  Don't worry, your characters and items all carry over into the new town."

HelpTitleDeath				"Death"
HelpTextDeath				"Death is inevitable in Din's Curse.  When you die you can always resurrect through Din's power though (unless you are playing hardcore).\n\nWhen killed you will incur a small XP debt penalty.  This means you get less experience until you work off the XP debt.  If you go and retrieve your soulstone that dropped when you died, the XP debt will be decreased. Soulstones are not saved so be sure to pick them up quickly."

HelpTitleMoney				"Money"
HelpTextMoney				"Money in the world of Aleria comes in the form of copper pieces (^c026CP^c145), silver pieces (^c128SP^c145), and gold pieces (^c061GP^c145).\n\n^c026100 Copper Pieces^c145 = ^c1281 Silver Piece^c145\n^c128100 Silver Pieces^c145 = ^c0611 Gold Piece^c145\n"

HelpTitleFindCombatPercents		"Find and Combat Percents"
HelpTextFindCombatPercents		"Item find, magic find, critical hit, crushing blow, and deep wounds bonuses are slightly misleading.  They represent the bonus compared to normal.\n\nFor example, a 100% bonus to critical hits means a 100% better chance than normal, not a 100% chance.  So if your normal critical hit chance is 5% and you have a 100% bonus, the final value will be 10%."

HelpTitleUIScreens			"UI Screens"
HelpTextUIScreens			"Here is a quick list of the main UI screens with their default hotkeys.\n\nCharacter - C\nQuests - Q\nSkills - S\nInventory - I\nMap - M\nJournal - J\nBestiary - B\nMain menu - Esc\nMinimap - Tab\nAll of these also have small buttons at the bottom of the screen."

HelpTitleLocks				"Locks"
HelpTextLocks				"Sometimes doors and chests are locked or stuck. If something is locked and you use it, you will use up one skeleton key automatically and it will unlock.\n\nIf you don't have a key though, you can use your Lock Pick skill if you are a rogue or you will have to bash down the door or bash open the chest. Bashing is the only way to open a stuck door.\n\nTo bash something, simply attack it with any damage type skill you have, including your main attack skill (default 1 key).\n\nBeware though, bashing things open makes a lot of noise which will alert nearby monsters and give you a surprise penalty for a few seconds. Bashing also tends to damage your weapons faster than hitting enemies."

HelpTitleCaveIns			"Cave-ins"
HelpTextCaveIns				"Caves and dungeons are fairly fragile. Large explosions can cause cave-ins which will damage anything underneath them and can block paths. If they get in the way you can attack and destroy them though, just like if they were a monster. Beware though, bashing on rocks with your weapons wears them down faster."

HelpTitleLowMana			"Low Mana"
HelpTextLowMana				"There are many ways to regain mana when your mana pool gets too low.\n\nThe easiest way is to just let it naturally regenerate. This is also the slowest way however.\n\nYou can drink a mana potion to instantly regain some mana.\n\nYou can also drink a drink to regain mana over time. This isn't instant like potions, but it's faster than your normal regeneration rate.\n\nOther than these many classes have various ways to gain mana. Look at your character skills for specifics."

HelpTitleReputation			"Reputation"
