
// General

QuestSlotEmpty				"Emplacement de quête vide"
QuestTitleNewNpcVendor			"Recruit a new Vendor"
QuestTextNewNpcVendor1			"I have found a potential new Vendor, but we need to clear a path so that they can get here. Kill ##2## monsters in ##1## to clear a path."

QuestNewNpcAnnouncement			"##1## a rejoint ##2##"

// QuestTriggerTotem

QuestTitleTriggerTotem			"Activer ##2##"
QuestTextTriggerTotem1			"One of our ##1##s below has been deactived, please re-activate it."

// ClearLevel

QuestProgressClearLevel			"##1## monstres ##2## restent a tuer\n"

// PickupArmorsmithUniqueItem

QuestTitlePickupArmorsmithUniqueItem	"Retrieve important info from ##1##"
QuestTextPickupArmorsmithUniqueItem	"I'm making ##2## but I need some final instructions. Talk to ##1## so I can finish the armor."

QuestTitlePickupWeaponsmithUniqueItem	"Retrieve important info from ##1##"
QuestTextPickupWeaponsmithUniqueItem	"I'm making ##2## but I need some final instructions. Talk to ##1## so I can finish the Weapon."

// GetInfo

QuestTitleGetInfo			"Retrieve important info from ##1##"
QuestTextGetInfo			"##1## has some important information for us. Talk to ##1## to see what is going on."

// EscapedPrisoner

QuestAnnounceEscapedPrisoner		"Le prisonnier ##1## s'est evade"
QuestTitleEscapedPrisoner		"Kill the escaped prisoner ##1##"
QuestTextEscapedPrisoner		"The dangerous prisoner named ##1## has has escaped.  Kill ##2## quickly!"

// FormerCursed

QuestAnnounceFormerCursed		"One of Din's Cursed, ##1##, has betrayed Din"
QuestTitleFormerCursed			"Tuer le traitre ##1##"
QuestTextFormerCursed			"One of Din's Cursed has betrayed him. Track down and kill ##1##."

// MonsterQuestBlackmail

MonsterQuestBlackmailQuestion		"I demand that you help me! If you do not, the consequences will be bad for you and your kind."
MonsterQuestBlackmailAnswer1		"Aider"
MonsterQuestBlackmailAnswer2		"Refuser d'aider"

// MonsterQuestBase

QuestTitleMonsterQuestBase		"##1## base of operations"
QuestTextMonsterQuestBase		"My race is evil, I can no longer follow their path. They have a secret base of operations in ##2##. Go kill a bunch of ##1## in ##2##. That should take care of them."

// BossTownDestroyed

QuestTextBossTownDestroyed		"##1## a detruit notre ville. Je le veux mort !"

// KillMonstersTownDestroyed

QuestTextKillMonstersTownDestroyed	"Les ##1## ont detruit notre ville. Je les veux morts, autant que possible."


QuestTitleTrigger			"Activer le totem"

MonsterItemName				"##2## de ##1##"

// 1.002 changes

Reward					"Recompense"
Score					"Score"

// 0.901 changes

QuestOptionalShort			"optionnelle"

// 0.902 changes

QuestAnnounceRaidFromQuestAltarRevenge2	"Les ##1## font un raid sur la ville pour se venger de la destruction de leur autel !"

// 0.904 changes

DefenseAddedToTown			"##1## ajoute a la ville"

QuestAnnounceTownTotem1			"Town needs some supplies to build a $$TownFireTotem$$."
QuestTitleTownTotem1			"Build a $$TownFireTotem$$"
QuestTextTownTotem1			"I need some supplies to build a $$TownFireTotem$$ in town to help protect us better. Find ##1## ##2## ##3##. $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceTownTotem2			"The town is almost finished building $$TownIceTotem$$."
QuestTitleTownTotem2			"Finish the $$TownIceTotem$$"
QuestTextTownTotem2			"I need some supplies to finish building a $$TownIceTotem$$. Having a $$TownIceTotem$$ in town will make us much safer when you aren't around. Find ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceTownTotem3			"The town is working on a $$TownPoisonTotem$$."
QuestTitleTownTotem3			"Build a $$TownPoisonTotem$$"
QuestTextTownTotem3			"I need some final supplies to build a $$TownPoisonTotem$$ here in town. With a $$TownPoisonTotem$$ nearby, I won't have to worry about my safety as much. Find ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceTownTotem4			"The armorsmiths are working on a $$TownLightningTotem$$."
QuestTitleTownTotem4			"Build a $$TownLightningTotem$$"
QuestTextTownTotem4			"We feel that the armorsmith area of the town isn't safe enough, so we are building a $$TownLightningTotem$$. Gather ##1## ##2## so that we can complete it.  You can find ##2## on the ground in ##5##."

QuestAnnounceTownTotem5			"The weaponsmiths are working on a $$TownLightningTotem$$."
QuestTitleTownTotem5			"Build a $$TownLightningTotem$$"
QuestTextTownTotem5			"The weaponsmith area is too dangerous. Help us build a $$TownLightningTotem$$ by gathering ##1## ##2## so that we can complete it.  You can find ##2## on the ground in ##5##."

QuestAnnounceBuildObelisk1		"The town wants to build a $$ObeliskGiant$$."
QuestTitleBuildObelisk1			"Build a $$ObeliskGiant$$"
QuestTextBuildObelisk1			"Help me build a $$ObeliskGiant$$ here in town. Having a $$ObeliskGiant$$ in town will allow you to get a quick boost when needed. Find ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildObelisk2		"The town wants to build a $$ObeliskRegeneration$$."
QuestTitleBuildObelisk2			"Build a $$ObeliskRegeneration$$"
QuestTextBuildObelisk2			"Help me build a $$ObeliskRegeneration$$ here in town. Having a $$ObeliskRegeneration$$ in town will allow you to get a quick boost when needed. Find ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildObelisk3		"The town wants to build a $$ObeliskLifeSteal$$."
QuestTitleBuildObelisk3			"Build a $$ObeliskLifeSteal$$"
QuestTextBuildObelisk3			"Help me build a $$ObeliskLifeSteal$$ here in town. Having a $$ObeliskLifeSteal$$ in town will allow you to get a quick boost when needed. Find ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildGoodTotem1		"The town is building a $$FireTotem$$."
QuestTitleBuildGoodTotem1		"Build a $$FireTotem$$"
QuestTextBuildGoodTotem1		"Help me build a $$FireTotem$$ to increase the town's fire power. Building a $$FireTotem$$ will give those of us that are near enough to the totem extra fire damage. Find ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildAltar1		"The town is building an $$Altar$$."
QuestTitleBuildAltar1			"Build an $$Altar$$"
QuestTextBuildAltar1			"Help me build an $$Altar$$ so that we can all defend the town better. Gather ##1## ##2## so that we can complete it.  You can find ##2## on the ground in ##5##."

QuestAnnounceUniqueMachineBrightness	"With materials from the destroyed darkness machine, the town built a brightness machine."

// 0.906 changes

QuestAnnounceWanderingVendorInTownLeft	"##1## has left town."

QuestObsolete				"(^c005obsolete^c145)"
QuestProgressObsolete			"Progress: ^c005obsolete^c145\n"
AnnounceQuestObsolete			"quest obsolete"

// 0.908 changes

QuestAnnounceGamblerBet1		"A gambler has a bet for you."
QuestTitleGamblerBet1			"##2## bet"
QuestTextGamblerBet1			"I bet that you can't kill ##2## ##1## without dying!\n\nIf you take this bet, half of the potential winnings will be taken as an upfront payment for your side of the bet.\n\nCanceling this quest will result in permanent loss of your upfront payment.\n\nThe death clause applies to any players in the game, not just you."
NotEnoughMoneyForBet			"Not enough money for bet"

PossibleLocation			"One Possible Location"

// 0.909 changes

QuestAnnounceTreasureMapFromQuestScoutLocation1		"As a reward for scouting, a treasure location is marked on the world map (##1##)."

// 0.910 changes

QuestAnnounceShrunk			"##1## has been shrunk."
QuestAnnounceShrunkFromRenegadeAttack	"##1## has been shrunk by the renegade ##2##."
QuestAnnounceShrunkFromAssassin		"##1## has been shrunk by the assassin ##2##."

QuestTitleShrunk			"Unshrink ##1##"
QuestTextShrunk				"##1## has been shrunk! I can cure the condition if you can bring me ##2## ##3## ##4##."
QuestKilledShrunk			"##1## was killed before being unshrunk!"

QuestAnnounceTriggerLever1		"A gate-unlocking lever has been located."
QuestTitleTriggerLever1			"Find the gate unlocking lever"
QuestTextTriggerLever1			"Please track down and use the lever in ##2##. We don't know which gate it will unlock, but hopefully it will give you better access to the dangers below."

QuestAnnounceSuperBoss			"##1## is now Super Boss of ##2##."
QuestTitleSuperBoss			"Kill ##1## the Super Boss"
QuestTextSuperBoss1			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it is much stronger than normal."
QuestTextSuperBoss2			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it is much quicker than normal."
QuestTextSuperBoss3			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it is much quicker than normal."
QuestTextSuperBoss4			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it has much higher resistances than normal."
QuestTextSuperBoss5			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it is also a Defender."
QuestTextSuperBoss6			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it is also a Berserker."
QuestTextSuperBoss7			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it is also a Zealot."
QuestTextSuperBoss8			"The dungeon now has a Super Boss. We are doomed! Go kill ##1## if you can. Beware ##1## is not a typical boss, it is also a Giant."

TalkToSpecificNpcInTown			"Talk to ##1## in town when the quest is completed.\n"

QuestFailGiverKilled			"NPC that gave quest killed"
QuestFailNpcDied			"Npc died"
QuestFailNpcGaveUp			"Npc gave up and left area"
QuestFailEnemyObjective			"Enemy acheived their objective"
QuestFailNpcSolved			"Npc solved"
QuestFailPlayerKilled			"Player killed"
QuestFailNpcRenegade			"Npc went renegade"

// QuestProgressFailed changed

QuestLateTextDelivery			"##2## gave up waiting for the delivery and has left the area!"
QuestLateTextGetInfo			"##2## gave up waiting and has left the area!"

NormalMonsterUpgrade			"##1## that killed ##2## is now a Champion ##1##."
ChampionMonsterUpgrade			"Champion ##1## that killed ##2## is now an Elite ##1##."
EliteMonsterUpgrade			"Elite ##1## that killed ##2## is now known as ##3##."

// 0.912 changes

QuestTitleFledglingHero			"Fight with ##1##"
QuestTextFledglingHero1			"##1## is a fledgling hero like yourself and would like to fight with you until you get down to ##3##. Note: ##1## can't follow you through gates."

QuestAnnouncePersonalGift		"##1## has left a personal gift for you in a chest in town"
PersonalGiftChestName			"Gift from ##1##"

QuestEventEscapeRescue			"##1## has managed to escape and has returned to town!"

QuestEndOnSuccessScout			"The ##1## scout was successful and has left town!"

// 1.003 changes

QuestTitleDinEndQuestNormal		"Quest for Freedom"
QuestTitleDinEndQuestChampion		"Become a Champion of Din"
QuestTitleDinEndQuestElite		"Become one of Din's Elite"
QuestTitleDinEndQuestLegendary		"Become one of Din's Legends"

// 1.008 changes

QuestArmorRewardDirect			"Armor reward placed in inventory"
QuestWeaponRewardDirect			"Weapon reward placed in inventory"

QuestDestroyedGodAltar			"##1## has been destroyed."

// 1.011 changes

QuestTitleRaid				"Stop the ##1## raid"
QuestTextRaid				"The ##1## are raiding the town. Please hurry and kill them all. Make sure to destroy the gate also."

QuestTitleTownAttack			"Quell the ##1## town attack"
QuestTextTownAttack			"The ##1## are attacking the town. Please hurry and kill them all. Make sure to destroy the gate also."

QuestTitleInvasion			"Save the town from the ##1## invasion"
QuestTextInvasion			"The ##1## are invading the town. Please hurry and kill them all. Make sure to destroy the gate also."

// 1.018 changes

QuestItemRewardNone			"No item reward given!"

// 1.021 changes

QuestSpecificItemRewardDirect		"##1## reward placed in inventory"
QuestSpecificItemReward			"##1## reward dropped on ground"

