Reward				"Recompense"
QuestTextWeaponsmithLevelQuestItem2	"J'ai besoin de davantage de matériaux Ramenez-moi ##1## ##2##.  Ramassez les ##2## sur le sol dans ##5##."
QuestTextWeaponsmithLevelQuestItem3	"Je suis condamne si je ne me procure pas davantage de ressources ! Je doute que vous puissiez m'aider, mais au cas ou je me tromperais, veuillez ma ramener ##1## ##2##.  Ils seront sur le sol dans ##5##."
QuestTextWeaponsmithLevelQuestItem4	"J'utilise beaucoup de composants magiques quand je forge des armes.  Malheureusement, je suis a court de certains.  Trouvez-moi ##1## ##2##. Ils seront sur le sol dans ##5##."

QuestAnnounceArmorsmithLevelQuestItem	"L'armurier a besoin de davantage de ##1##\n"
QuestAnnounceWeaponsmithLevelQuestItem	"Le forgeron d'armes a besoin de davantage de ##1##\n"

QuestEventGatherSuccessLevelItem	"##1## a rassemble les ##2## nécessaires"
QuestEventGatherFailureLevelItem	"##1## a tente de rassembler les ##2## nécessaires, mais est mort(e)"
QuestEventGatherRescueLevelItem		"##1## a tente de rassembler les ##2## nécessaires, mais a maintenant besoin être secouru"

QuestTextArmorsmithLevelQuestUniqueItem1	"Je fais ##4## mais j'ai besoin de quelques ressources finales. Trouvez-moi ##1## ##2## pour que je puisse achever mon projet. Je compte vendre l'armure quand elle sera achevée."
QuestTextWeaponsmithLevelQuestUniqueItem1	"Je fais ##4## mais j'ai besoin que quelques ressources finales. Trouvez-moi ##1## ##2## pour que je puisse achever mon projet. Je compte vendre l'arme une fois achevée"

// Level items personal

QuestAnnounceLevelQuestItemPersonal	"##3## a besoin de davantage de ##1##\n"
QuestTextLevelQuestItemPersonal		"##3## a besoin de ##1## ##2## pour un projet personnel.  Vous pouvez trouver des ##2## par terre dans "

QuestAnnounceLevelQuestItemPersonalApothecary	"L'apothicaire a besoin de davantage de ##1##\n"
QuestTextLevelQuestItemPersonalApothecary	"L'apothicaire a besoin de ##1## ##2## pour un projet personnel.  Vous pourrez trouver des ##2## sur le sol dans "

// Find Plans

QuestAnnounceFindPlans			"Quelque chose d'étrange se passe dans ##2##"
QuestTitleFindPlans			"Trouver les plans"
QuestTextFindPlans			"Il se passe quelque chose étrange Cherchez les plans dans ##5##."
QuestAnnouncePlansBrokenGate		"Nous avons perturbe les plans visant a bâtir un portail"
QuestAnnouncePlansBrokenAltar		"Nous avons perturbe les plans visant a construire un autel"
QuestAnnouncePlansBrokenAltarCurse	"Nous avons perturbe les plans visant a construire un autel maudit"
QuestAnnouncePlansBrokenReconTotem	"Nous avons perturbe les plans visant a eriger un totem de reconnaissance"
QuestAnnouncePlansBrokenMachineEarthquake	"Nous avons perturbe les plans visant a construire une machine a tremblements de terre"
QuestAnnouncePlansBrokenMachineDarkness	"Nous avons perturbe les plans visant a construire une machine a ténèbres"
QuestAnnouncePlansBrokenMachineWeather	"Nous avons perturbe les plans visant a construire une machine climatique"

// Lost item

QuestAnnounceLostHeirloom		"##3## a perdu un bien de valeur herite de sa famille"
QuestTitleLostHeirloom			"Heritage familial perdu"
QuestTextLostHeirloom			"J'ai perdu un bien de valeur herite de ma famille, en bas, dans les souterrains. S'il-vous-plait, ramenez-le-moi."

// Relic

Relic					"Relique"
QuestAnnounceRelic			"##3## est a la recherche d'une relique fabuleuse"
QuestTitleRelic				"Trouver la relique fabuleuse"
QuestTextRelic				"##3## est a la recherche d'une relique fabuleuse qui est censée avoir de grands pouvoirs mais on ne sais pas avec certitude lesquels. Veuillez descendre dans les souterrains et trouver cette relique si vous pouvez."

// Artifact

Artifact				"Artefact"
QuestAnnounceArtifactDin		"Din est a la recherche d'un artefact maléfique"
QuestTitleArtifactDin			"Trouver l'artefact maléfique"
QuestTextArtifactDin			"Din est a la recherche d'un artefact maléfique extrêmement dangereux. Prenez garde si vous parvenez a le trouver : il pourrait y avoir un contrecoup."

// Possessed

QuestAnnouncePossessed			"##2## a ete possede(e). Trouvez une cure avant que nous soyons forces de tuer\n"
QuestTitlePossessed			"##1## est possede(e)"
QuestTextPossessed			"##4## a été possede(e) !.  Allez trouver ##1## ##3## de ##2## pour que je puisse le (/la) guerir."

// Treasure map

QuestAnnounceTreasureMap		"Emplacement du tresor marque sur la carte du monde (##1##)"
QuestTitleTreasureMap			"Trouver le trésor enterre"
QuestTextTreasureMap1			"Trouvez le trésor enterre"
QuestTextTreasureMap2			"Trouvez le trésor enterre de la horde"
QuestTextTreasureMap3			"Trouvez le trésor enterre du pirate"
QuestSolvedTreasureMap			"Découverte d'un trésor enterre"

// Rescue

QuestAnnounceRescueNpc			"##1## a besoin être secouru"
QuestAnnounceRescueNpcFromEscort	"##1## n'a pas été escorte(e) a temps et a maintenant besoin être secouru"

QuestTitleRescueNpc			"Secourir ##1##"
QuestRescueNotSafe			"On ne peut pas secourir la personne tant qu'on n'est pas débarrasse des monstres alentour !"
QuestTextRescue1			"Secourez ##1##."
QuestTextRescue2			"Vous devez secourir ##1##."
QuestTextRescue3			"Secourez ##1##, si vous pouvez."
QuestKilledRescueNpc			"##1## n'a pas été secouru(e) et est mort(e) !"
RescueNpcText				"Sauvez-moi, je vous en prie."

QuestTextRescueDin			"##1## est en danger et est important pour ma cause. Allez secourir ##1##"

// Din quests

AvatarTalkTo				"Parlez a l'avatar de Din lorsque la quête sera accomplie.\n"

QuestTextDinStartQuestNormal		"Pour ta première tache sur le chemin de ta rédemption, fais tes preuves en tuant ##2## ##1##."
QuestTextDinEndQuestNormal		"Tu reviens de loin. Si tu peux faire ça pour moi, je te libererai de mon service. ##1## a pris le souterrain. Va le tuer."
QuestSolveTextDinEndQuestNormal		"Tu te vois accorder ta liberté"

QuestTextDinStartQuestChampion		"Pour ta première tache sur le chemin qui fera de toi un de mes champions, fais tes preuves en tuant ##2## ##1##."
QuestTextDinEndQuestChampion		"Tu reviens de loi. Si tu peux faire ça pour moi, je ferai de toi un de mes champions. ##1## a pris le souterrain. Va le tuer."
QuestSolveTextDinEndQuestChampion	"Vous etes maintenant un Champion de Din"

QuestTextDinStartQuestElite		"Pour ta première tache sur le chemin qui fera de toi une partie de mon élite, fais tes preuves en tuant ##2## ##1##."
QuestTextDinEndQuestElite		"Tu reviens de loin. Si tu peux faire ça pour moi, je ferai de toi une partie de mon élite ##1## a pris le souterrain. Va le tuer."
QuestSolveTextDinEndQuestElite		"Vous etes maintenant un membre de l'Elite de Din"

QuestTextDinStartQuestLegendary		"Pour ta première tache sur le chemin qui fera de toi une de mes legendes, fais tes preuves en tuant ##2## ##1##."
QuestTextDinEndQuestLegendary		"Tu reviens de loin. Si tu peux faire ça pour moi, je ferai de toi une de mes légendes. ##1## a pris le souterrain. Va le tuer."
QuestSolveTextDinEndQuestLegendary	"Vous etes maintenant une Légende de Din"

// Wandering vendors

QuestAnnounceWanderingVendorInTown	"##1## est arrive en ville et repartira sous peu."

// New npc quests

QuestAnnounceNewNpcWarmaster		"On a trouve un potentiel nouveau Maître de guerre."
QuestTitleNewNpcWarmaster		"Recruter un nouveau Maître de guerre"
QuestTextNewNpcWarmaster1		"J'ai trouve un potentiel nouveau Maître de guerre, mais nous avons besoin de nous en prouver dignes. Tuez ##2## ##1##."

QuestAnnounceNewNpcApothecary		"On a trouve un potentiel nouvel Apothicaire."
QuestTitleNewNpcApothecary		"Recruter un nouvel Apothicaire"
QuestTextNewNpcApothecary1		"J'ai trouve un potentiel nouvel apothicaire, mais nous devons nous en prouver dignes. Trouvez ##1## ##2##."

QuestAnnounceNewNpcSteward		"On a trouve un potentiel nouvel Intendant."
QuestTitleNewNpcSteward			"Recruter un nouvel Intendant"
QuestTextNewNpcSteward1			"J'ai trouve un potentiel nouvel intendant, mais nous devons prouver que nous en sommes dignes. Trouvez ##1## ##2## ##3##."

QuestAnnounceNewNpcArmorsmith		"On a trouve un potentiel nouvel Armurier."
QuestTitleNewNpcArmorsmith		"Recruter un nouvel Armurier"
QuestTextNewNpcArmorsmith1		"J'ai trouve un potentiel nouvel armurier, mais nous avons besoin de nettoyer le chemin pour qu'il puisse venir ici. Tuez ##2## monstres dans ##1## pour nettoyer le chemin."

QuestAnnounceNewNpcWeaponsmith		"On a trouve un potentiel nouveau forgeron d'armes."
QuestTitleNewNpcWeaponsmith		"Recruter un nouveau Forgeron d'armes"
QuestTextNewNpcWeaponsmith1		"J'ai trouve un potentiel nouveau forgeron d'armes, mais nous devons nettoyer le chemin pour qu'il puisse venir ici. Tuez ##2## monstres dans ##1## pour nettoyer le chemin."

QuestAnnounceNewNpcVendor		"On a trouve un potentiel nouveau Marchand."
QuestTitleNewNpcVendor			"Recruter un nouveau Marchand"
QuestTextNewNpcVendor1			"J'ai trouve un potentiel nouveau marchand, mais nous avons besoin de nettoyer le chemin pour qu'il puisse venir ici. Tuez ##2## monstres dans ##1## pour nettoyer le passage."

QuestNewNpcAnnouncement			"##1## a rejoint ##2##"

// QuestTriggerTotem

QuestTitleTriggerTotem			"Activer ##2##"
QuestTextTriggerTotem1			"Un de nos ##1##s en-dessous a été désactive, veuillez le réactiver."

// ClearLevel

QuestProgressClearLevel			"Il reste ##1## monstres ##2## a tuer\n"

// PickupArmorsmithUniqueItem

QuestTitlePickupArmorsmithUniqueItem	"Rapporter d'importantes informations de ##1##"
QuestTextPickupArmorsmithUniqueItem	"Je forge ##2## mais j'ai besoin d'instructions finales. Parlez a ##1## pour que je puisse finir mon armure."

QuestTitlePickupWeaponsmithUniqueItem	"Rapporter d'importantes informations de ##1##"
QuestTextPickupWeaponsmithUniqueItem	"Je fabrique ##2## mais j'ai besoin d'instructions finales. Parlez a ##1## pour que je puisse finir mon arme."

// GetInfo

QuestTitleGetInfo			"Rapporter d'importantes informations de ##1##"
QuestTextGetInfo			"##1## a d'importantes informations pour nous. Parlez a ##1## pour voir ce qu'il en est."

// EscapedPrisoner

QuestAnnounceEscapedPrisoner		"Le prisonnier ##1## s'est evade"
QuestTitleEscapedPrisoner		"Tuer le prisonnier evade ##1##"
QuestTextEscapedPrisoner		"Le dangereux prisonnier nomme ##1## s'est evade.  Tuez-##2## au plus vite !"

// FormerCursed

QuestAnnounceFormerCursed		"Un des Maudits de Din, ##1##, a trahi Din"
QuestTitleFormerCursed			"Tuer le traître ##1##"
QuestTextFormerCursed			"Un des Maudits de Din l'a trahi. Retrouvez et tuez ##1##."

// MonsterQuestBlackmail

MonsterQuestBlackmailQuestion		"J'exige que vous m'aidiez ! Si vous ne le faites pas, les conséquences en seront mauvaises pour vous et votre espèces"
MonsterQuestBlackmailAnswer1		"Aider"
MonsterQuestBlackmailAnswer2		"Refuser d'aider"

// MonsterQuestBase

QuestTitleMonsterQuestBase		"Base ##1## des opérations"
QuestTextMonsterQuestBase		"Ma race est maléfique, je ne peux plus suivre leur chemin. Ils ont une base secrète des opérations dans ##2##. Allez tuer un paquet de ##1## dans ##2##. Ca devrait faire l'affaire."

// BossTownDestroyed

QuestTextBossTownDestroyed		"##1## a détruit notre ville. Je le veux mort !"

// KillMonstersTownDestroyed

QuestTextKillMonstersTownDestroyed	"Les ##1## ont détruit notre ville. Je les veux morts, autant que possible."

QuestTitleTrigger			"Activer le totem"
MonsterItemName			"##2## de ##1##"

// 1.002 changes


// 0.901 changes


// 0.902 changes

QuestAnnounceRaidFromQuestAltarRevenge2	"Les ##1## font un raid sur la ville pour se venger de la destruction de leur autel !"

// 0.904 changes

DefenseAddedToTown			"##1## ajoute a la ville"

QuestAnnounceTownTotem1			"La ville a besoin de ressources pour ériger un $$TownFireTotem$$."
QuestTitleTownTotem1			"Eriger un $$TownFireTotem$$"
QuestTextTownTotem1			"J'ai besoin de ressources pour ériger un $$TownFireTotem$$ en ville pour aider a mieux nous protéger. Trouvez ##1## ##2## ##3##. $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceTownTotem2			"La ville a presque fini ériger un $$TownIceTotem$$."
QuestTitleTownTotem2			"Finir le $$TownIceTotem$$"
QuestTextTownTotem2			"J'ai besoin de ressources pour finir ériger un $$TownIceTotem$$. Avoir une $$TownIceTotem$$ en ville nous mettra davantage en surete quand vous n'etes pas dans les parages. Trouvez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceTownTotem3			"La ville travaille sur un $$TownPoisonTotem$$."
QuestTitleTownTotem3			"Ériger un $$TownPoisonTotem$$"
QuestTextTownTotem3			"J'ai besoin de ressources finales pour ériger un $$TownPoisonTotem$$ ici en ville. Avec un $$TownPoisonTotem$$ dans le coin, je n'aurai plus autant a m'inquiéter pour ma sécurité Trouvez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceTownTotem4			"Les armuriers travaillent a un $$TownLightningTotem$$."
QuestTitleTownTotem4			"Ériger un $$TownLightningTotem$$"
QuestTextTownTotem4			"Nous sentons que l'espace des armuriers de la ville n'est plus assez sur, aussi construisons-nous un $$TownLightningTotem$$. Rassemblez ##1## ##2## pour que nous puissions l'achever.  Vous pourrez trouver des ##2## par terre dans ##5##."

QuestAnnounceTownTotem5			"Les forgerons d'armes travaillent a un $$TownLightningTotem$$."
QuestTitleTownTotem5			"Eriger un $$TownLightningTotem$$"
QuestTextTownTotem5			"L'espace du forgeron d'armes est trop dangereux. Aidez-nous a ériger un $$TownLightningTotem$$ en rassemblant ##1## ##2## pour que nous puissions l'achever.  Vous pourrez trouver des ##2## par terre dans ##5##."

QuestAnnounceBuildObelisk1		"La ville veut ériger une $$ObeliskGiant$$."
QuestTitleBuildObelisk1			"Ériger une $$ObeliskGiant$$"
QuestTextBuildObelisk1			"Aidez-moi a ériger une $$ObeliskGiant$$ ici en ville. Avoir une $$ObeliskGiant$$ en ville vous permettra d'obtenir un boost rapide quand ce sera nécessaire Trouvez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildObelisk2		"La ville veut ériger une $$ObeliskRegeneration$$."
QuestTitleBuildObelisk2			"Eriger une $$ObeliskRegeneration$$"
QuestTextBuildObelisk2			"Aidez-moi a ériger une $$ObeliskRegeneration$$ ici en ville. Avoir une $$ObeliskRegeneration$$ en ville vous permettra d'obtenir un boost rapide quand ce sera nécessaire Trouvez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildObelisk3		"La ville veut ériger une $$ObeliskLifeSteal$$."
QuestTitleBuildObelisk3			"Ériger une $$ObeliskLifeSteal$$"
QuestTextBuildObelisk3			"Aidez-moi a ériger une $$ObeliskLifeSteal$$ ici en ville. Avoir une$$ObeliskLifeSteal$$ en ville vous permettra d'obtenir un boost rapide quand vous en aurez besoin. Trouvez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildGoodTotem1		"La ville erige un $$FireTotem$$."
QuestTitleBuildGoodTotem1		"Ériger un $$FireTotem$$"
QuestTextBuildGoodTotem1		"Aidez-moi a ériger un $$FireTotem$$ pour augmenter ma puissance de feu de la ville. Construire un $$FireTotem$$ donnera a ceux d'entre nous qui en sont suffisamment proches des capacités d'infliger des dégâts de feu supplémentaires. Trouvez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"

QuestAnnounceBuildAltar1		"La ville est en train de bâtir un $$Altar$$."
QuestTitleBuildAltar1			"Bâtir un $$Altar$$"
QuestTextBuildAltar1			"Aidez-moi a bâtir un $$Altar$$ pour que nous puissions mieux défendre la ville. Rassemblez ##1## ##2## pour que nous puissions l'achever.  Vous pouvez trouver des ##2## par terre dans ##5##."

QuestAnnounceUniqueMachineBrightness	"Avec les matériaux de la machine a ténèbres détruite, la ville a construit une machine a lumière."

// 0.906 changes

QuestAnnounceWanderingVendorInTownLeft	"##1## a quitte la ville."

QuestObsolete				"(^c005obsolete^c145)"
QuestProgressObsolete			"Avancée : ^c005obsolete^c145\n"
AnnounceQuestObsolete			"quête obsolète"

// 0.908 changes

QuestAnnounceGamblerBet1		"Un parieur a un pari a vous proposer."
QuestTitleGamblerBet1			"##2## parie"
QuestTextGamblerBet1			"Je gage que vous ne pourrez pas tuer ##2## ##1## sans mourir !\n\nSi vous relevez le pari, la moitie des gains potentiels sera prise comme paiement d'avance pour votre part du pari.\n\nAnnuler cette quête entraînera la perte définitive de votre avance.\n\nLa clause de mort s'applique a tous les joueurs de la partie, pas seulement vous."
NotEnoughMoneyForBet			"Pas assez d'argent pour parier"

PossibleLocation			"Un emplacement possible"

// 0.909 changes

QuestAnnounceTreasureMapFromQuestScoutLocation1		"Comme récompense pour avoir fait éclaireur, l'emplacement d'un trésor a été inscrit sur la carte du monde (##1##)."

// 0.910 changes

QuestAnnounceShrunk			"##1## a été rétréci."
QuestAnnounceShrunkFromRenegadeAttack	"##1## a été rétréci par le renégat ##2##."
QuestAnnounceShrunkFromAssassin		"##1## a été rétréci par l'assassin ##2##."

QuestTitleShrunk			"Deminiaturiser ##1##"
QuestTextShrunk				"##1## a été miniaturise(e) ! Je peux le (/la) sortir de sa condition si vous m'apportez ##2## ##4## de ##3##."
QuestKilledShrunk			"##1## a été tue(e) avant être deminiaturise(e) !"

QuestAnnounceTriggerLever1		"Un levier débloquant un portail a été localise."
QuestTitleTriggerLever1			"Trouver le levier débloquant le portail"
QuestTextTriggerLever1			"Veuillez rechercher et utiliser le levier dans ##2##. Nous ignorons quel portail il débloquera, mais avec un peu de chance il nous donnera accès plus facilement aux dangers du dessous."

QuestAnnounceSuperBoss			"##1## est maintenant un Super Boss de ##2##."
QuestTitleSuperBoss			"Tuer ##1## le Super Boss"
QuestTextSuperBoss1			"Le souterrain a maintenant un Super Boss. Nous sommes condamnes ! Allez tuer ##1## si vous pouvez. Prenez garde, ##1## n'est pas un boss typique, il est beaucoup plus fort que la normale."
QuestTextSuperBoss2			"Le souterrain a maintenant un Super Boss. Nous sommes condamnes ! Allez tuer ##1## si vous pouvez. Prenez garde, ##1## n'est pas un boss typique, il est beaucoup plus rapide que la normale."
QuestTextSuperBoss3			"Le souterrain a maintenant un Super Boss. Nous sommes condamnes ! Allez tuer ##1## si vous pouvez. Prenez garde, ##1## n'est pas un boss typique, il est beaucoup plus rapide que la normale."
QuestTextSuperBoss4			"Le souterrain a maintenant un Super Boss. Nous sommes perdus ! Allez tuer ##1## si vous pouvez. Prenez garde : ##1## n'est pas un boss typique, il a de beaucoup plus hautes résistances que la normale."
QuestTextSuperBoss5			"Le souterrain a maintenant un Super Boss. Nous sommes maudits ! Allez tuer ##1## si vous pouvez. Prenez garde : ##1## n'est pas un boss typique, c'est aussi un Défenseur."
QuestTextSuperBoss6			"Le souterrain a maintenant un Super Boss. Nous sommes maudits ! Allez tuer ##1## si vous pouvez. Prenez garde : ##1## n'est pas un boss typique, c'est aussi un Berserker."
QuestTextSuperBoss7			"Le souterrain a maintenant un Super Boss. Nous sommes maudits ! Allez tuer ##1## si vous pouvez. Prenez garde : ##1## n'est pas un boss typique, c'est aussi un Zélote."
QuestTextSuperBoss8			"Le souterrain a maintenant un Super Boss. Nous sommes maudits ! Allez tuer ##1## si vous pouvez. Prenez garde : ##1## n'est pas un boss typique, c'est aussi un Géant."

TalkToSpecificNpcInTown			"Parlez a ##1## en ville quand la quête sera accomplie.\n"

QuestFailGiverKilled			"Le PNJ qui vous avait donne cette quête a été tue."
QuestFailNpcDied			"PNJ mort"
QuestFailNpcGaveUp			"Le PNJ a laisse tomber et a quitte la région"
QuestFailEnemyObjective			"L'ennemi a atteint son objectif."
QuestFailNpcSolved			"Résolu par un PNJ"
QuestFailPlayerKilled			"Joueur tue"
QuestFailNpcRenegade			"Le PNJ est devenu renégat"

// QuestProgressFailed changed

QuestLateTextDelivery			"##2## a renonce a attendre la livraison et a quitte la zone !"
QuestLateTextGetInfo			"##2## a renonce a attendre et a quitte la zone !"

NormalMonsterUpgrade			"##1## qui a tue ##2## est maintenant un Champion ##1##."
ChampionMonsterUpgrade			"Le champion ##1## qui a tue ##2## est maintenant un membre de l'Élite ##1##."
EliteMonsterUpgrade			"Le membre de Élite ##1## qui a tue ##2## est maintenant connu sous le nom de ##3##."

// 0.912 changes

QuestTitleFledglingHero			"Combat avec ##1##"
QuestTextFledglingHero1			"##1## est une graine de héros comme vous et voudrait combattre avec vous jusqu'a ce que vous descendiez a ##3##. Note : ##1## ne peut vous suivre a travers les portails."

QuestAnnouncePersonalGift		"##1## a laisse un cadeau personnel pour vous dans un coffre en ville."
PersonalGiftChestName			"Cadeau de ##1##"

QuestEventEscapeRescue			"##1## a réussi a s'échapper et est retourne(e) en ville !"

QuestEndOnSuccessScout			"éclaireur ##1## a réussi et a quitte la ville !"

// 1.003 changes

QuestTitleDinEndQuestNormal		"Quête de Liberté"
QuestTitleDinEndQuestChampion		"Devenir un Champion de Din"
QuestTitleDinEndQuestElite		"Faire partie de Élite de Din"
QuestTitleDinEndQuestLegendary		"Devenir une des Légendes de Din"

// 1.008 changes

QuestArmorRewardDirect			"Armure de récompense placee dans l'inventaire"
QuestWeaponRewardDirect			"Arme de récompense placée dans l'inventaire"

QuestDestroyedGodAltar			"##1## a ete detruit(e)."

// 1.011 changes

QuestTitleRaid				"Arrêter le raid de ##1##"
QuestTextRaid				"Les ##1## font un raid sur la ville. Veuillez vous dépêcher et les tuer tous. Assurez-vous de détruire aussi le portail."

QuestTitleTownAttack			"Réprimer l'attaque de la ville par les ##1##"
QuestTextTownAttack			"Les ##1## attaquent la ville. Veuillez vous dépêcher et tous les tuer. Assurez-vous de détruire aussi leur portail."

QuestTitleInvasion			"Sauver la ville de l'invasion ##1## invasion"
QuestTextInvasion			"Les ##1## envahissent la ville. Veuillez vous dépêcher et tous les tuer. Assurez-vous de détruire aussi leur portail."

// 1.018 changes

QuestItemRewardNone			"Aucun objet donne en récompense !"

// 1.021 changes

QuestSpecificItemRewardDirect		"##1## en récompense place(e) dans l'inventaire"
QuestSpecificItemReward			"##1## en récompense pose(e) au sol"

