
RarityNormal				"Normal"
Soulstripper				"Soulstripper"
Maelstrom				"Maelstrom"
Whirlwind				"Whirlwind"
EeanleesStaff				"Eeanlee's Staff"
VrullsStaff				"Vrull's Staff"
GizlinsStaff				"Gizlin's Staff"
GhostEvader				"Ghost Evader"
UndeadHeraldStopper			"Undead Herald Stopper"

OnehandedSword				"One-handed Sword"
ShortSword				"Short Sword"
Scimitar				"Scimitar"
Saber					"Saber"
Broadsword				"Broad sword"
Shadowblade				"Shadowblade"
Manslayer				"Manslayer"
Froststriker				"Froststriker"
AleksSaber				"Alek's Saber"
LongSword				"Long Sword"
Cutlass					"Cutlass"
Machete					"Machete"
Rapier					"Rapier"
Shamshire				"Shamshir"
Gladius					"Gladius"
FlameSword				"Flame Sword"
CelticSword				"Celtic Sword"
Spatha					"Spatha"
Falchion				"Falchion"
Warsword				"War sword"
Razoredge				"Razoredge"
Hellstriker				"Hellstriker"
Nightblade				"Nightblade"
Avenger					"Avenger"
Darkslayer				"Darkslayer"
Deathblade				"Deathblade"
RettersShamshire			"Retter's Shamshir"
SvensFalchion				"Sven's Falchion"
SvensWarSword				"Sven's War Sword"
DraaiensSword				"Draaien's Sword"
NagaDestroyer				"Naga Destroyer"
TargTrouncer				"Targ Trouncer"

TwohandedSword				"Two-handed Sword"
BastardSword				"Bastard Sword"
Claymore				"Claymore"
Goreblade				"Goreblade"
Steelslicer				"Steelslicer"
GiantSword				"Giant Sword"
Flamberge				"Flamberge"
GreatSword				"Great Sword"
CombatSword				"Combat Sword"
VikingSword				"Viking Sword"
CrusaderSword				"Crusader Sword"
ExecutionerSword			"Executioner Sword"
WarlordSword				"Warlord Sword"
WarrioressSword				"Warrioress Sword"
Warmonger				"Warmonger"
Frostbite				"Frostbite"
Vilestriker				"Vilestriker"
Foulstriker				"Foulstriker"
Deathstriker				"Deathstriker"
Brand					"Brand"
BevansSword				"Bevan's Sword"
DarkElfEliminator			"Dark Elf Eliminator"
LichLamer				"Lich Lamer"
FrenzyFlayer				"Frenzy Flayer"

Bow					"Bow"
BowName1				"Flatbow"
BowName2				"Oak Flatbow"
BowName3				"Short Bow"
BowName4				"Ash Short Bow"
BowName5				"Reflex Bow"
BowName6				"Elm Reflex Bow"
BowName7				"Recurve Bow"
BowName8				"Mahogany Recurve Bow"
BowName9				"Longbow"
BowName10				"Hickory Longbow"
BowName11				"Yew Longbow"
BowName12				"Composite Bow"
BowName13				"Ironwood Composite Bow"
BowName14				"Osage Composite Bow"
BowName15				"Horn Composite Bow"

BowNameUnique1				"Lightning"
BowNameUnique2				"Cold Revenge"
BowNameUnique3				"Skull Split"
BowNameUnique4				"Blood Let"
BowNameUnique5				"Hell Fury"
BowNameUnique6				"Death Knell"
BowNameUnique7				"Deep Rage"
BowNameUnique8				"Life Quell"
BowNameUnique9				"Demon Fire"
BowNameUnique10				"Sure Kill"

TomeGreatWarsofAleria			"Tome - Great Wars of Aleria"
TomeTheftofaGodWindofDin		"Tome - Theft of a God: Wind of Din"
TomeTheftofaGodGiftofaThief		"Tome - Theft of a God: Gift of a Thief"
TomeTheftofaGodAbodeoftheSpider		"Tome - Theft of a God: Abode of the Spider"
TomeTheftofaGodFallenStatue		"Tome - Theft of a God: Fallen Statue"
TomeGlobeofDarknessToveroftheDark	"Tome - Globe of Darkness: Tover of the Dark"
TomeGlobeofDarknessForgottenCave	"Tome - Globe of Darkness: Forgotten Cave"
TomeGlobeofDarknessFireScrape		"Tome - Globe of Darkness: Fire Scrape"
TomeGlobeofDarknessDarkEscape		"Tome - Globe of Darkness: Dark Escape"
TomeCrusadesFrozenCrystal		"Tome - Crusades: Frozen Crystal"
TomeNecromancer				"Tome - Necromancer"
TomeCrusadesMurderinMarkar		"Tome - Crusades: Murder in Markar"
TomeMarchofEvilDoubleEdge		"Tome - March of Evil: Double Edge"
TomeMarchofEvilDraaienandtheRing	"Tome - March of Evil: Draaien and the Ring"
TomeMarchofEvilTribute			"Tome - March of Evil: Tribute"
TomeMarchofEvilBattleofForfarshire	"Tome - March of Evil: Battle of Forfarshire"
TomeTimeRenewed				"Tome - Time Renewed"
TomeFuseDouleursStatueTrap		"Tome - Fuse Douleur's Statue Trap"
TomeMythsofOriginsWoodElves		"Tome - Myths of Origins: Wood Elves"
TomeMythsofOriginsTeratai		"Tome - Myths of Origins: Teratai"
TomeMythsofOriginsHuman			"Tome - Myths of Origins: Human"
TomeMythsofOriginsBarbarian		"Tome - Myths of Origins: Barbarian"
TomeOrcMother				"Tome - Orc Mother"
TomeReignofTerror			"Tome - Reign of Terror"
TomeTheCrusadeofLight			"Tome - The Crusade of Light"
TomeTheDarkWar				"Tome - The Dark War"
TomeTheLegendofRimround			"Tome - The Legend of Rimround"
TomeIntheEye				"Tome - In the Eye"
TomeTheInheritance			"Tome - The Inheritance"
TomeAssassin				"Tome - Assassin"
TomeDepthsofPeril			"Tome - Depths of Peril"
TomeZombieDeadfall			"Tome - Zombie Deadfall"
TomeTheOathUndone			"Tome - The Oath Undone"
TomeCrusadesTheTaken			"Tome - Crusades: The Taken"
TomeDragonStone				"Tome - Dragon Stone"
TomeMythsofOriginsDwarves		"Tome - Myths of Origins: Dwarves"
TomeMythsofOriginsSade			"Tome - Myths of Origins: Sade"
TomeMythsofOriginsDarkElves		"Tome - Myths of Origins: Dark Elves"
TomeMythsofOriginsLumen			"Tome - Myths of Origins: Lumen"
TomeLookingRedtheCrystalsCry		"Tome - Looking Red the Crystals' Cry"

ClothCuffs				"Cloth Cuffs"
QuiltedCuffs				"Quilted Cuffs"
Fireweave				"Fireweave"
WoolCuffs				"Wool Cuffs"
ThickClothCuffs				"Thick Cloth Cuffs"
WovenCuffs				"Woven Cuffs"
KnittedBracelets			"Knitted Bracelets"
PaddedBracelets				"Padded Bracelets"
LinenBracelets				"Linen Bracelets"
CanvasBracelets				"Canvas Bracelets"
RussetBracelets				"Russet Bracelets"
FlaxBracers				"Flax Bracers"
GarbadineBracers			"Garbadine Bracers"
FustianBracers				"Fustian Bracers"
GossamerBracers				"Gossamer Bracers"
SilkBracers				"Silk Bracers"
SpidersilkBracers			"Spidersilk Bracers"
BrennasCuffs				"Brenna's Cuffs"
EeanleesBracelets			"Eeanlee's Bracelets"
RavensBracers				"Raven's Bracers"
Strife					"Strife"
ArchmageBracers				"Archmage Bracers"
VrullsBracers				"Vrull's Bracers"

SoftLeatherBracers			"Soft Leather Bracers"
LeatherBracers				"Leather Bracers"
BuckskinBracers				"Buckskin Bracers"
HardLeatherBracers			"Hard Leather Bracers"
StuddedLeatherBracers			"Studded Leather Bracers"
RawhideBracers				"Rawhide Bracers"
RoughLeatherBracers			"Rough Leather Bracers"
TannedLeatherBracers			"Tanned Leather Bracers"
CuredLeatherBracers			"Cured Leather Bracers"
CrocodileHideBracers			"Crocodile Hide Bracers"
ReinforcedLeatherBracers		"Reinforced Leather Bracers"
SerpentskinBracers			"Serpentskin Bracers"
OgreHideBracers				"Ogre Hide Bracers"
GiantHideBracers			"Giant Hide Bracers"
BasiliskHidebracers			"Basilisk Hide Bracers"
DragonhideBracers			"Dragonhide Bracers"
DrelsBracers				"Drel's Bracers"
ToversBracers				"Tover's Bracers"
AversionsBracers			"Aversion's Bracers"
Vorak					"Vorak"
Bloodwrath				"Bloodwrath"
Mithras					"Mithras"
ToresBracers				"Tore's Bracers"
LishlotsBracers				"Lishlot's Bracers"

RingMailBracers				"Ring Mail Bracers"
BronzeScaleBracers			"Bronze Scale Bracers"
LightChainBracers			"Light Chain Bracers"
ScaleMailBracers			"Scale Mail Bracers"
ChainMailBracers			"Chain Mail Bracers"
SplintMailBracers			"Splint Mail Bracers"
SteelChainBracers			"Steel Chain Bracers"
BrigandineBracers			"Brigandine Bracers"
FortifiedChainBracers			"Fortified Chain Bracers"
DoubleMailBracers			"Double Mail Bracers"
BandedArmorBracers			"Banded Armor Bracers"
BoneScaleBracers			"Bone Scale Bracers"
IvoryScaleBracers			"Ivory Scale Bracers"
TurtleScaleBracers			"Turtle Scale Bracers"
ScorpionScaleBracers			"Scorpion Scale Bracers"
DragonscaleBracers			"Dragonscale Bracers"
ShankarsBracers				"Shankar's Bracers"
Frostwolf				"Frostwolf"
BrujarsManic				"Brujar's Manic"
HerodiusScale				"Herodius' Scale"

LightPlateBracers			"Light Plate Bracers"
Bloodmoon				"Bloodmoon"
CopperPlateBracers			"Copper Plate Bracers"
FieldPlateBracers			"Field Plate Bracers"
BronzePlateBracers			"Bronze Plate Bracers"
PlateArmorBracers			"Plate Armor Bracers"
FullPlateBracers			"Full Plate Bracers"
SteelPlateBracers			"Steel Plate Bracers"
EmbossedPlateVambrace			"Embossed Plate Vambrace"
GothicPlateVambrace			"Gothic Plate Vambrace"
CrusaderPlateVambrace			"Crusader Plate Vambrace"
QuicksilverVambrace			"Quicksilver Vambrace"
MithrilVambrace				"Mithril Vambrace"
AdamantiumPlateVambrace			"Adamantium Plate Vambrace"
SvensVambrace				"Sven's Vambrace"
SkaddsBracers				"Skadd's Bracers"
DraaiensVambrace			"Draaien's Vambrace"
Typhoon					"Typhoon"
GrimVambrace				"Grim Vambrace"

// Magic modifiers

ArmorModifierName1			"of Preservation"
ArmorModifierName2			"of Protection"
ArmorModifierName3			"of Fortification"
ArmorModifierName4			"of Guarding"
ArmorModifierName5			"of Security"
ArmorModifierName6			"of Shielding"
ArmorModifierName7			"of Warding"

ArmorMultModifierName1			"Hardy"
ArmorMultModifierName2			"Stalwart"
ArmorMultModifierName3			"Stout"
ArmorMultModifierName4			"Tough"
ArmorMultModifierName5			"Solid"
ArmorMultModifierName6			"Sturdy"
ArmorMultModifierName7			"Staunch"
ArmorMultModifierName8			"Dense"

AttackModifierName1			"Accurate"
AttackModifierName2			"Exact"
AttackModifierName3			"Precise"
AttackModifierName4			"Fine"
AttackModifierName5			"True"
AttackModifierName6			"Constant"
AttackModifierName7			"Unerring"
AttackModifierName8			"Homing"

BetterItemsModifierName1		"of Fortune"
BetterItemsModifierName2		"of Blessings"
BetterItemsModifierName3		"of Chance"
BetterItemsModifierName4		"of Fate"
BetterItemsModifierName5		"of Karma"
BetterItemsModifierName6		"of Luck"
BetterItemsModifierName7		"of Destiny"
BetterItemsModifierName8		"of Godsend"

ColdDamageModifierName1			"Chilled"
ColdDamageModifierName2			"Snowy"
ColdDamageModifierName3			"Bleak"
ColdDamageModifierName4			"Frigid"
ColdDamageModifierName5			"Winter"
ColdDamageModifierName6			"Freezing"
ColdDamageModifierName7			"Icy"
ColdDamageModifierName8			"Frozen"
ColdDamageModifierName9			"Glacial"
ColdDamageModifierName10		"Polar"	
ColdDamageModifierName11		"Arctic"

ColdResModifierName1			"Azurite"
ColdResModifierName2			"Turquoise"
ColdResModifierName3			"Aquamarine"
ColdResModifierName4			"Benitoite"
ColdResModifierName5			"Topaz"
ColdResModifierName6			"Tanzanite"
ColdResModifierName7			"Sapphire"

DamageModifierName1			"of Destruction"
DamageModifierName2			"of Annihilation"
DamageModifierName3			"of Eradication"
DamageModifierName4			"of Elimination"
DamageModifierName5			"of Extermination"
DamageModifierName6			"of Obliteration"
DamageModifierName7			"of Evisceration"
DamageModifierName8			"of Mutilation"

DamageMaxModifierName1			"of Gore"
DamageMaxModifierName2			"of Slaughter"
DamageMaxModifierName3			"of Butchery"
DamageMaxModifierName4			"of Slaying"
DamageMaxModifierName5			"of Murder"
DamageMaxModifierName6			"of Execution"
DamageMaxModifierName7			"of Assassination"
DamageMaxModifierName8			"of Carnage"

DamageMaxMultModifierName1		"Baneful"
DamageMaxMultModifierName2		"Killing"
DamageMaxMultModifierName3		"Destroying"
DamageMaxMultModifierName4		"Ruinous"
DamageMaxMultModifierName5		"Devastating"
DamageMaxMultModifierName6		"Deadly"
DamageMaxMultModifierName7		"Destructive"
DamageMaxMultModifierName8		"Mortal"
DamageMaxMultModifierName9		"Lethal"

DamageMinModifierName1			"of Bruising"
DamageMinModifierName2			"of Mayhem"
DamageMinModifierName3			"of Bloodshed"
DamageMinModifierName4			"of Assault"
DamageMinModifierName5			"of Violence"
DamageMinModifierName6			"of Aggression"
DamageMinModifierName7			"of Injury"
DamageMinModifierName8			"of Vehemence"
DamageMinModifierName9			"of Abuse"
DamageMinModifierName10			"of Maiming"

ArmorPiercingModifierName1		"Sharp"
ArmorPiercingModifierName2		"Honed"
ArmorPiercingModifierName3		"Biting"
ArmorPiercingModifierName4		"Penetrating"
ArmorPiercingModifierName5		"Keen"
ArmorPiercingModifierName6		"Acute"
ArmorPiercingModifierName7		"Jagged"
ArmorPiercingModifierName8		"Razor-edged"
ArmorPiercingModifierName9		"Barbed"
ArmorPiercingModifierName10		"Cutting"
ArmorPiercingModifierName11		"Piercing"
ArmorPiercingModifierName12		"Serrated"

DamageMultModifierName1			"Harsh"
DamageMultModifierName2			"Merciless"
DamageMultModifierName3			"Fierce"
DamageMultModifierName4			"Ruthless"
DamageMultModifierName5			"Brutal"
DamageMultModifierName6			"Ferocious"
DamageMultModifierName7			"Savage"
DamageMultModifierName8			"Cruel"
DamageMultModifierName9			"Barbaric"
DamageMultModifierName10		"Vicious"
DamageMultModifierName11		"Sadistic"

AttackAndDamageMultModifierName1	"of Encounters"
AttackAndDamageMultModifierName2	"of Frays"
AttackAndDamageMultModifierName3	"of Conflict"
AttackAndDamageMultModifierName4	"of Brawls"
AttackAndDamageMultModifierName5	"of Fighting"
AttackAndDamageMultModifierName6	"of Skirmishes"
AttackAndDamageMultModifierName7	"of Engagements"
AttackAndDamageMultModifierName8	"of Combat"
AttackAndDamageMultModifierName9	"of Battle"
AttackAndDamageMultModifierName10	"of War"	
AttackAndDamageMultModifierName11	"of Warfare"	

DefenseModifierName1			"Nimble"
DefenseModifierName2			"Fleet"
DefenseModifierName3			"Spry"
DefenseModifierName4			"Agile"
DefenseModifierName5			"Observant"
DefenseModifierName6			"Ready"
DefenseModifierName7			"Alert"
DefenseModifierName8			"Sentinel"
DefenseModifierName9			"Vigilant"

DexterityModifierName1			"of Dexterity"
DexterityModifierName2			"of Nimbleness"
DexterityModifierName3			"of Adroitness"
DexterityModifierName4			"of Proficiency"
DexterityModifierName5			"of Sleight"
DexterityModifierName6			"of Competence"
DexterityModifierName7			"of Ambidexterity"
DexterityModifierName8			"of Deftness"
DexterityModifierName9			"of Agility"

DexterityCursedModifierName1		"of Grogginess"
DexterityCursedModifierName2		"of Impairment"
DexterityCursedModifierName3		"of Clumsiness"
DexterityCursedModifierName4		"of Awkwardness"
DexterityCursedModifierName5		"of Gracelessness"
DexterityCursedModifierName6		"of Bumbling"
DexterityCursedModifierName7		"of Ineptitude"
DexterityCursedModifierName8		"of Fumbling"

ElementalResModifierName1		"Zircon"
ElementalResModifierName2		"Pearl"
ElementalResModifierName3		"Opal"
ElementalResModifierName4		"Diamond"

FireDamateModifierName1			"Smoldering"
FireDamateModifierName2			"Sparking"
FireDamateModifierName3			"Flaring"
FireDamateModifierName4			"Fiery"
FireDamateModifierName5			"Flaming"
FireDamateModifierName6			"Burning"
FireDamateModifierName7			"Blazing"
FireDamateModifierName8			"Scorching"
FireDamateModifierName9			"Incinerating"

FireResModifierName1			"Bixbite"
FireResModifierName2			"Cuprite"
FireResModifierName3			"Garnet"
FireResModifierName4			"Hematite"
FireResModifierName5			"Rubellite"
FireResModifierName6			"Taafeite"
FireResModifierName7			"Ruby"

HealthModifierName1			"of Substance"
HealthModifierName2			"of Heart"
HealthModifierName3			"of Soundness"
HealthModifierName4			"of Good Health"
HealthModifierName5			"of Robust Health"
HealthModifierName6			"of Excellent Health"
HealthModifierName7			"of Perfect Health"
HealthModifierName8			"of Essence"
HealthModifierName9			"of Core"

IntelligenceModifierName1		"of Intelligence"
IntelligenceModifierName2		"of Creativity"
IntelligenceModifierName3		"of Cleverness"
IntelligenceModifierName4		"of Astuteness"
IntelligenceModifierName5		"of Inspiration"
IntelligenceModifierName6		"of Learning"
IntelligenceModifierName7		"of Intellect"
IntelligenceModifierName8		"of Wit"
IntelligenceModifierName9		"of Enlightenment"
IntelligenceModifierName10		"of Ingenious"
IntelligenceModifierName11		"of Knowledge"
IntelligenceModifierName12		"of Understanding"
IntelligenceModifierName13		"of Sagacity"
IntelligenceModifierName14		"of Insight"
IntelligenceModifierName15		"of Insight"
IntelligenceModifierName16		"of Illuminati"
IntelligenceModifierName17		"of Brilliance"
IntelligenceModifierName18		"of Genius"

IntelligenceCursedModifierName1		"of Folly"
IntelligenceCursedModifierName2		"of Dullness"
IntelligenceCursedModifierName3		"of Imbecility"
IntelligenceCursedModifierName4		"of Incompetence"
IntelligenceCursedModifierName5		"of Vacancy"
IntelligenceCursedModifierName6		"of Foolishness"
IntelligenceCursedModifierName7		"of the Idiot"
IntelligenceCursedModifierName8		"of the Half-wit"
IntelligenceCursedModifierName9		"of the Simpleton"
IntelligenceCursedModifierName10	"of the Ninny"
IntelligenceCursedModifierName11	"of Stupidity"

LightModifierName1			"Glimmering"
LightModifierName2			"Lucent"
LightModifierName3			"Bright"
LightModifierName4			"Sparkling"
LightModifierName5			"Luminous"
LightModifierName6			"Shining"
LightModifierName7			"Lambent"
LightModifierName8			"Lustrous"
LightModifierName9			"Glowing"
LightModifierName10			"Vivid"
LightModifierName11			"Radiant"
LightModifierName12			"Dazzling"

LightningDamageModifierName1		"Static"
LightningDamageModifierName2		"Thundering"
LightningDamageModifierName3		"Charged"
LightningDamageModifierName4		"Lightning"
LightningDamageModifierName5		"Shocking"
LightningDamageModifierName6		"Conductive"
LightningDamageModifierName7		"Arcing"
LightningDamageModifierName8		"Sparking"
LightningDamageModifierName9		"Ionic"
LightningDamageModifierName10		"Electric"
LightningDamageModifierName11		"Storming"

LightningRedModifierName1		"Catseye"
LightningRedModifierName2		"Heliodor"
LightningRedModifierName3		"Amber"
LightningRedModifierName4		"Apatite"
LightningRedModifierName5		"Sunstone"
LightningRedModifierName6		"Tigereye"
LightningRedModifierName7		"Citrine"

MagicDamageModifierName1		"Magical"
MagicDamageModifierName2		"Mystic"
MagicDamageModifierName3		"Magi"
MagicDamageModifierName4		"Talismanic"
MagicDamageModifierName5		"Charmed"
MagicDamageModifierName6		"Magus"
MagicDamageModifierName7		"Sorcerous"
MagicDamageModifierName8		"Witching"
MagicDamageModifierName9		"Wizardly"
MagicDamageModifierName10		"Arcane"

MagicRedModifierName1			"Schorl"
MagicRedModifierName2			"Jet"
MagicRedModifierName3			"Black Pearl"
MagicRedModifierName4			"Black Opal"
MagicRedModifierName5			"Onyx"
MagicRedModifierName6			"Black Spinel"

MoneyModifierName1			"of Money"
MoneyModifierName2			"of Currency"
MoneyModifierName3			"of the Mint"
MoneyModifierName4			"of Wealth"
MoneyModifierName5			"of Desire"
MoneyModifierName6			"of Greed"
MoneyModifierName7			"of Avarice"

MoreItemsModifierName1			"of Collecting"
MoreItemsModifierName2			"of Hoarding"
MoreItemsModifierName3			"of Amassing"
MoreItemsModifierName4			"of Prosperity"
MoreItemsModifierName5			"of Riches"
MoreItemsModifierName6			"of Treasure"
MoreItemsModifierName7			"of Loot"

PoisonDamageModifierName1		"Asp"
PoisonDamageModifierName2		"Mandrake"
PoisonDamageModifierName3		"Viper"
PoisonDamageModifierName4		"Hemlock"
PoisonDamageModifierName5		"Arsenic"
PoisonDamageModifierName6		"Cobra"
PoisonDamageModifierName7		"Nightshade"
PoisonDamageModifierName8		"Henbane"
PoisonDamageModifierName9		"Adder"
PoisonDamageModifierName10		"Wolfsbane"
PoisonDamageModifierName11		"Mamba"
PoisonDamageModifierName12		"Hellebore"

PoisonResModifierName1			"Agate"
PoisonResModifierName2			"Alexandrite"
PoisonResModifierName3			"Peridot"
PoisonResModifierName4			"Beryl"
PoisonResModifierName5			"Jade"
PoisonResModifierName6			"Malachite"
PoisonResModifierName7			"Emerald"

PowerModifierName1			"of Power"
PowerModifierName2			"of Energy"
PowerModifierName3			"of Potency"
PowerModifierName4			"of Capacity"
PowerModifierName5			"of Force"
PowerModifierName6			"of Zeal"
PowerModifierName7			"of Ardor"
PowerModifierName8			"of Fervor"
PowerModifierName9			"of Intensity"

RegenHealthModifierName1		"of Regeneration"
RegenHealthModifierName2		"of Regrowth"
RegenHealthModifierName3		"of Renewal"
RegenHealthModifierName4		"of Restoration"
RegenHealthModifierName5		"of Revival"
RegenHealthModifierName6		"of Recovery"
RegenHealthModifierName7		"of Repair"
RegenHealthModifierName8		"of Recuperation"
RegenHealthModifierName9		"of Relief"
RegenHealthModifierName10		"of Restitution"
RegenHealthModifierName11		"of Reconstitution"

RegenPowerModifierName1			"of Excitement"
RegenPowerModifierName2			"of Stimulation"
RegenPowerModifierName3			"of Intensification"
RegenPowerModifierName4			"of Exhilaration"
RegenPowerModifierName5			"of Passion"
RegenPowerModifierName6			"of Inspiration"
RegenPowerModifierName7			"of Energizing"
RegenPowerModifierName8			"of Inflaming"

SpiritModifierName1			"of Spirit"
SpiritModifierName2			"of Faith"
SpiritModifierName3			"of Belief"
SpiritModifierName4			"of Divinity"
SpiritModifierName5			"of Grace"
SpiritModifierName6			"of Revelation"
SpiritModifierName7			"of Religon"
SpiritModifierName8			"of Hope"
SpiritModifierName9			"of Piety"
SpiritModifierName10			"of Holiness"
SpiritModifierName11			"of Saint"
SpiritModifierName12			"of Reverence"
SpiritModifierName13			"of Devotion"
SpiritModifierName14			"of Soul"

SpiritCursedModifierName1		"of Lameness"
SpiritCursedModifierName2		"of Vice"
SpiritCursedModifierName3		"of Deficit"
SpiritCursedModifierName4		"of Carelessness"
SpiritCursedModifierName5		"of Dishonor"
SpiritCursedModifierName6		"of Fickleness"
SpiritCursedModifierName7		"of Disgrace"
SpiritCursedModifierName8		"of Falseness"
SpiritCursedModifierName9		"of Disrepute"
SpiritCursedModifierName10		"of Fraud"
SpiritCursedModifierName11		"of Deception"
SpiritCursedModifierName12		"of the Unbeliever"
SpiritCursedModifierName13		"of Betrayal"

StrengthModifierName1			"of Strength"
StrengthModifierName2			"of Brawn"
StrengthModifierName3			"of Might"
StrengthModifierName4			"of Force"
StrengthModifierName5			"of Vigor"
StrengthModifierName6			"of Power"

StrengthCursedModifierName1		"of Weakness"
StrengthCursedModifierName2		"of Deficiency"
StrengthCursedModifierName3		"of Failing"
StrengthCursedModifierName4		"of Helplessness"
StrengthCursedModifierName5		"of Debility"
StrengthCursedModifierName6		"of Impotence"

VitalityModifierName1			"of Vitality"
VitalityModifierName2			"of Energy"
VitalityModifierName3			"of Life Force"
VitalityModifierName4			"of Vim"
VitalityModifierName5			"of Stamina"
VitalityModifierName6			"of Physique"
VitalityModifierName7			"of Virility"

VitalityCursedModifierName1		"of Flabbiness"
VitalityCursedModifierName2		"of Inactivity"
VitalityCursedModifierName3		"of Fragility"
VitalityCursedModifierName4		"of Frailty"
VitalityCursedModifierName5		"of Infirmity"
VitalityCursedModifierName6		"of Sickliness"
VitalityCursedModifierName7		"of Illness"
VitalityCursedModifierName8		"of Emaciation"

WeaponSpeedModifierName1		"Brisk"
WeaponSpeedModifierName2		"Speedy"
WeaponSpeedModifierName3		"Accelerated"
WeaponSpeedModifierName4		"Hasty"
WeaponSpeedModifierName5		"Quick"
WeaponSpeedModifierName6		"Fast"
WeaponSpeedModifierName7		"Rapid"
WeaponSpeedModifierName8		"Swift"

DurabilityMultModifierName1		"Stable"
DurabilityMultModifierName2		"Firm"
DurabilityMultModifierName3		"Solid"
DurabilityMultModifierName4		"Tough"
DurabilityMultModifierName5		"Resistant"
DurabilityMultModifierName6		"Enduring"
DurabilityMultModifierName7		"Lasting"
DurabilityMultModifierName8		"Durable"

StaminaModifierName1			"of Enduring"
StaminaModifierName2			"of Pluck"
StaminaModifierName3			"of Determination"
StaminaModifierName4			"of Grit"
StaminaModifierName5			"of Physique"
StaminaModifierName6			"of Stamina"
StaminaModifierName7			"of Fortitude"
StaminaModifierName8			"of Iron Will"
StaminaModifierName9			"of Zeal"

SkillItemProcFlameWall			"Flame Wall"
SkillItemProcFlameWallSuffix		"of Flame Wall"
SkillItemProcArcticShard		"Arctic Shard"
SkillItemProcArcticShardSuffix		"of Arctic Shard"
SkillItemProcPoison			"Poison"
SkillItemProcPoisonSuffix		"of Poison"
SkillItemProcConfuse			"Confuse"
SkillItemProcConfuseSuffix		"of Confusion"
SkillItemProcFear			"Fear"
SkillItemProcFearSuffix			"of Fear"
SkillItemProcBallLightning		"Ball Lightning"
SkillItemProcBallLightningSuffix	"of Ball Lightning"
SkillItemProcIceStorm			"Ice Storm"
SkillItemProcIceStormSuffix		"of Ice Storm"
SkillItemProcLifeSteal			"Life Steal"
SkillItemProcLifeStealSuffix		"of Life Steal"
SkillItemProcFireWeapon			"Fire Weapon"
SkillItemProcFireWeaponSuffix		"of Fire"
SkillItemProcSlow			"Caltrops"
SkillItemProcSlowSuffix			"of Caltrops"
SkillItemProcPetrify			"Petrify"
SkillItemProcPetrifySuffix		"of Petrify"
SkillItemProcWeakness			"Weakness"
SkillItemProcWeaknessSuffix		"of Weakness"
SkillItemProcFrostNova			"Frost Nova"
SkillItemProcFrostNovaSuffix		"of Frost Nova"
SkillItemProcFury			"Fury"
SkillItemProcFurySuffix			"of Fury"
SkillItemProcDisease			"Disease"
SkillItemProcDiseaseSuffix		"of Disease"
SkillItemProcStun			"Stun"
SkillItemProcStunSuffix			"of Stun"
SkillItemProcRuptureArmor		"Rupture"
SkillItemProcRuptureArmorSuffix		"of Rupturing"
SkillItemProcHaste			"Haste"
SkillItemProcHasteSuffix		"of Speed"
SkillItemProcMana			"Mana Steal"
SkillItemProcManaSuffix			"of Mana Steal"

SkillItemCursedProcSlow			"Slow ^c005(Cursed)^c145"
SkillItemCursedProcSlowSuffix		"of Slowness"

SkillItemEgoFear			"Self Fear"
SkillItemEgoFearSuffix			"of the Coward"
SkillItemEgoTalking			"Talk"
SkillItemEgoTalkingSuffix		"of the Big Mouth"
SkillItemEgoHeal			"Monster Heal"
SkillItemEgoHealSuffix			"of Empathy"

MovementSpeedModifierName1		"of Briskness"
MovementSpeedModifierName2		"of Speed"
MovementSpeedModifierName3		"of Acceleration"
MovementSpeedModifierName4		"of Haste"
MovementSpeedModifierName5		"of Quickness"
MovementSpeedModifierName6		"of Fleetness"
MovementSpeedModifierName7		"of Rapidness"
MovementSpeedModifierName8		"of Swiftness"

StrengthElixir				"Strength Elixir"
DexterityElixir				"Dexterity Elixir"
VitalityElixir				"Vitality Elixir"
IntelligenceElixir			"Intelligence Elixir"
SpiritElixir				"Spirit Elixir"
TreasureFindingElixir			"Treasure Finding Elixir"

FireResistancePotion			"Fire Resistance Potion"
ColdResistancePotion			"Cold Resistance Potion"
PoisonResistancePotion			"Poison Resistance Potion"
LightningResistancePotion		"Lightning Resistance Potion"
MagicResistancePotion			"Magic Resistance Potion"

PerceptionModifierName1			"of Attention"
PerceptionModifierName2			"of Vision"
PerceptionModifierName3			"of Astuteness"
PerceptionModifierName4			"of Awareness"
PerceptionModifierName5			"of Observation"
PerceptionModifierName6			"of Intuition"
PerceptionModifierName7			"of Insight"
PerceptionModifierName8			"of Keenness"
PerceptionModifierName9			"of Perception"

BlockingModifierName1			"of Deterence"
BlockingModifierName2			"of Suppression"
BlockingModifierName3			"of Prevention"
BlockingModifierName4			"of Avoidance"
BlockingModifierName5			"of Thwarting"
BlockingModifierName6			"of Hindering"
BlockingModifierName7			"of Blocking"
BlockingModifierName8			"of Intercepting"
BlockingModifierName9			"of Obstruction"
BlockingModifierName10			"of Barricading"

LowerRequirementsModifierName1		"of Ease"
LowerRequirementsModifierName2		"of Yielding"
LowerRequirementsModifierName3		"of Simplicity"
LowerRequirementsModifierName4		"of Purity"

CriticalHitModifierName1		"Acute"
CriticalHitModifierName2		"Crucial"
